title,abstract,year,journal
Views and Reviews,"disciplines would be, arguably, antithetical to its practice. Despite improvisationâ€™s dynamic ambiguity and resistance to definitional fixity, however, the discursive field surrounding it is charged by a theoretical tension. On the one hand, improvisation is often characterized as a potentially liberating, emancipatory force from orthodoxy, convention, and the status quo. On the other hand, improvisation is seen to rely on the pleasurable return of the familiar, on the mimetic pleasure of recognition and reappropriation, operating under the guise of artistic freedom. In The Philosophy of Improvisation, Gary Peters accounts for these divergent views by proposing a continuum of improvisational forms from the canny to the uncanny. Canniness (Heimlich) refers to an understanding of the art form in relation to an economy of consumption in pursuit of â€œa spectacle of freedom and expressionâ€ and a â€œfundamental athomeness both within the given forms of improvisation and the cultural milieu in which they are promoted and consumedâ€ (120). Uncanniness (Unheimlich), on the other hand, points to improvisationâ€™s subversive and perhaps emancipatory potential in its ability to unsettle â€œthe given with all of its overbearing familiarityâ€ (120). Petersâ€™s theoretical framework for improvisational activity nicely encases the articles that comprise this issueâ€™s Views and Reviews. Together, these articles demonstrate a range of possibilities for improvisation, whether as a community-building force that generates dialogue and collectivity or as a means of interrogating disciplinary â€œgivensâ€ in order to find a â€œway forward.â€ In â€œA Way Forward,â€ musician Joe Sorbara charts how his interdisciplinary improvisational work with corporeal mime Julie Lassonde provided a way of unlocking the assumptions that undergird their respective disciplines and discovering the performative possibilities of sound and gesture such that both become equally relevant and equally at play for the musician and the dancer. That improvisation can be, paradoxically, an impediment to artistic innovation, despite being an indispensible method of theatrical devising, is evident in Gyllian Rabyâ€™s article on the â€œCommotionâ€ project with Niagara youth. Raby trenchantly captures some of the ideological pitfalls of improvisational â€œcanninessâ€ when left to its own devices and assesses how the RSVP method can redirect a reversion to the familiar and the predictable. On the topic of devising, Aida JordÃ£o reviews Collective Creation, Collaboration and Devising, edited by Bruce Barton. Bartonâ€™s collection provides a vital compendium of work on and by Canadian theatre artists who employ a range of devising methods that present, as JordÃ£o says, â€œan alternative to ... the conventional one-author play as a starting Views and Reviews",2010,Canadian Theatre Review
Forecasting and trading the EUR/USD exchange rate with stochastic Neural Network combination and time-varying leverage,"The motivation of this paper is to investigate the use of a Neural Network (NN) architecture, the Psi Sigma Neural Network (PSN), when applied to the task of forecasting and trading the Euro/Dollar (EUR/USD) exchange rate using the European Central Bank (ECB) fixing series and to explore the utility of Kalman Filters in combining NN forecasts. This is done by benchmarking the statistical and trading performance of PSN with a Naive Strategy, an Autoregressive Moving Average (ARMA) model and two different NN architectures, a Multi-Layer Perceptron (MLP) and a Recurrent Network (RNN). We combine our NN forecasts with Kalman Filter, a traditional Simple Average, the Bayesian Average, the Granger-Ramanathan's Regression Approach (GRR) and the Least Absolute Shrinkage and Selection Operator (LASSO). Finally, we apply a time-varying leverage strategy based on RiskMetrics volatility forecasts in order to further improve the forecasting performance of our models and combinations. The statistical and trading performance of our models is estimated throughout the period of 2002-2010, using the last two years for out-of-sample testing. In terms of our results, the PSN outperforms all models' individual performances in terms of statistical accuracy and trading performance. The forecast combinations also present improved empirical evidence, with Kalman Filters outperforming by far its benchmarks. We also note that after the application of the time varying leverage, all models except ARMA show a substantial increase in their trading performance.",2012,Decis. Support Syst.
"Thalassomonas ganghwensis sp. nov., isolated from tidal flat sediment.","A Gram-negative, aerobic, halophilic bacterium, designated strain JC2041(T), was isolated from a sediment sample of getbol, the Korean tidal flat. Results of 16S rDNA sequence analyses indicated a moderate relationship to Thalassomonas viridans within the gamma-Proteobacteria (94.9 % similarity). Depending on the tree-making algorithm used, the isolate either formed a monophyletic clade with T. viridans or was recovered as a sister group of a class containing the genera Thalassomonas and Colwellia. Phenotypic features of the getbol isolate were similar to those of T. viridans, but several physiological and chemotaxonomic properties, including nitrate reduction, amylase, lecithinase, Tweenase and utilization of 13 carbon sources, distinguished strain JC2041(T) from T. viridans. The polyphasic data presented in this study indicate that the isolate should be classified as a novel species in the genus Thalassomonas. The name Thalassomonas ganghwensis sp. nov. is therefore proposed for the getbol isolate; the type strain is JC2041(T) (=IMSNU 14005(T)=KCTC 12041(T)=DSM 15355(T)).",2004,International journal of systematic and evolutionary microbiology
Regresi Kuantil Bayesian Dengan Penalti Adaptif Lasso Untuk Estimasi Pengaruh Pendidikan Terhadap Pendapatan Di Provinsi Sulawesi Selatan,"Pendidikan diharapkan dapat mendorong peningkatan produktivitas 
yang pada akhirnya bermuara pada peningkatan pendapatan masyarakat. 
Hubungan antara pendidikan dan pendapatan dapat dianalisis dengan 
persamaan Mincer. Studi ini bertujuan untuk meneliti hubungan antara lama 
sekolah (variabel yang mewakili pendidikan) dan potensi pengalaman 
(umur - lama sekolah) terhadap pendapatan. Pengaruh pendidikan terhadap 
pendapatan digambarkan oleh koefisien dari variabel lama sekolah yang 
umumnya dikenal sebagai return pendidikan. Regresi kuantil digunakan 
dalam penelitian ini untuk melihat efek pendidikan terhadap pendapatan 
pada berbagai tingkatan kuantil, bukan hanya pada ukuran pemusatan 
distribusi dari pendapatan. Persamaan Mincer ditaksir menggunakan tiga 
pendekatan, yaitu: (i) Quantile Regression (QR), (ii) Bayesian Quantile 
Regression (BQR), dan (iii) Bayesian Adaptive Lasso Quantile Regression 
(BALQR). Metode BALQR ini adalah perluasan dari metode BQR dengan 
memberikan penalti yang berbeda pada setiap koefisien regresi. Invers 
gamma digunakan sebagai distribusi prior untuk parameter penalti. Data 
yang digunakan untuk penelitian ini adalah hasil survei angkatan kerja 
nasional (SAKERNAS) 2014 di Provinsi Sulawesi Selatan. Hasil studi 
menunjukkan bahwa metode BALQR relatif lebih baik dibanding dengan 
dua metode lainnya berdasarkan hasil backtesting dan perbandingan nilai 
standar error. Selain itu, terdapat perbedaan plot garis regresi kuantil untuk 
sektor pertanian dan jasa-jasa. Return pendidikan pada sektor pertanian 
relatif sama antar kuantil sementara pada sektor jasa return pendidikan 
antar kuantil sebagian besar berbeda secara signifikan. 
================================================================================================================== 
Education plays an important role toward the increasing in 
productivity and earning. Using so-called mincer earning function, we 
investigated the effect of education and earning. This study using years of 
schooling (interpretation of education) and potensial experience as 
predictor variables. Effect of education represented by coefficient of 
variable years of schooling, commonly known as return to education. With 
quantile regression, allowing to specify the effect of covariate at different 
quantile levels not only at the center of its distribution, but also at its 
spread. We employed three methods to estimate parameters in mincer 
equation: (i) Quantile Regression (QR), (ii) Bayesian Quantile Regression 
(BQR) and (iii) Bayesian Adaptive Lasso Quantile Regression (BALQR). 
The latter method extends the bayesian Lasso penalty term by employing 
different penalty function with an adaptive tuning parameter accomodated 
in the inverse gamma prior distribution. Data used in this paper is samples 
from workers in agricultural and services sectors in South Sulawesi. 
Empirical results showed that BALQR relative outperformed over BQR and 
QR because it resulted better in backtesting and smaller standart error (SE). 
In addition, there are different pattern quantile regression line for 
agricultural and services sectors. Return to education in agricultural sector 
in most of quantile of earning are not different. More over, return to 
education in services different in most of quantile of earning.",2016,
Salvaging lowermost deployment of an acurate device during transcatheter aortic valve replacement with balloon and lasso pull techniques.,"Transcatheter aortic valve replacement (TAVR), also known as transcatheter aortic valve implantation (TAVI), is being used with increasing frequency in patients with severe aortic stenosis at high or prohibitive surgical risk. A number of devices are becoming available for TAVR, and competence in using them is mandatory to maximize the safety and efficacy of TAVR, while individualizing device selection in keeping with patient features. The ACURATE TF is a novel promising device for transfemoral TAVR. However, its peculiar features may require additional maneuvers in case of complications. We hereby report the case of a patient undergoing transfemoral TAVR with the ACURATE TF device, in whom lowermost deployment was complicated by massive aortic regurgitation. With two separate remedial actions, the balloon pull and lasso techniques, we were able to pull back the device and significantly reduce post-TAVR aortic regurgitation. Awareness of this complication and the possible use of these two techniques may increase the safety and efficacy of TAVR with this and other new devices. Â© 2015 Wiley Periodicals, Inc.",2016,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
Encouraging self-development. Profile: Louise Lassonde.,"
 A profile of Louise Lassonde, population advisor to the UN Conference on Environment and Development (UNCED) portrays her ethnic and educational background, her interests, and achievements. She was born a French Canadian near Montreal and earned a degree in anthropology with an emphasis on the ancient cultures of Peru. A second degree was earned in sociology and a Ph.D. in demography. In her investigations, it was discovered that there were few remnants of the old Indian culture remaining in the Andean highlands; Quechua and Spanish languages were learned in the process. Her professional responsibilities have included university teaching in development and demography in Montreal, development assistance work in Burundi, Rwanda, and eastern Zaire as regional director for a Canadian nongovernmental organization, and consultancy activities for UNICEF and UNFPA. As a consultant, she was engaged in studying women and their ways of generating income and improving the quality of their lives. In 1989, her position was as country director to Togo and Benin within the UN Population Fund followed by a position in the UNCED secretariat in Geneva. Her field experience has contributed to a view that time is precious and that there is accountability for action or inaction. A little bit of effort can go a long way, i.e., improved management and information and good will. The assumption is that people have the will and desire to improve their own and their families as long as there is hope and freedom from a discouraging atmosphere. Lack of understanding can create tremendous barriers. The example is given of a man presenting with malaria at an African health center and not being treated because of his tribal affiliation; he died when medicine was within reach. Support must be provided in terms of health and education so that people can set the targets for themselves and develop creative solutions compatible with their own cultures. Her positive approach is visible in her insistence that population issues be included in preparatory documents. She helped prepare a chapter in Agenda 21, the draft action plan for the Earth Summit in Rio de Janeiro which established the principle of stabilization of world population.
",1992,People & the planet
Modeling Brain Connectivity with Graphical Models on Frequency Domain,"Multichannel electroencephalograms (EEGs) have been widely used to study cortical connectivity during acquisition of motor skills. In this paper, we introduce copula Gaussian graphical models on spectral domain to characterize dependence in oscillatory activity between channels. To obtain a simple and robust representation of brain connectivity that can explain the most variation in the observed signals, we propose a framework based on maximizing penalized likelihood with Lasso regularization to search for the sparse precision matrix. To address the optimization problem, graphical Lasso, Ledoit-Wolf and sparse estimation of a covariance matrix (SPCOV) algorithms were modified and implemented. Simulations show the benefit of using the proposed algorithms in terms of robustness and small estimation errors. Furthermore, analysis of the EEG data in a motor skill task conducted using algorithms of modified graphical LASSO and Ledoit-Wolf, reveal a sparse pattern of brain connectivity among cortices which is consistent with the results from other work in the literature.",2018,arXiv: Applications
"Urban Dwellers, Politicians And Dirt: An Anthropology Of Everyday Governance In Bobo-Dioulasso (Burkina Faso)","The social, anthropological and political questions posed by the provision of a public urban-sanitation and waste-management service offer an excellent opportunity for the analysis of an everyday situation of urban governance. A social-anthropological study conducted over a period of two years in Ouagadougou and Bobo-Dioulasso made it possible to identify and describe in detail the local actors involved in the area of urban sanitation, their concerns and interaction. This chapter focuses on a particularly interesting point that emerged from the study, i.e. the symbolic political legitimacy that the management of the urban public space by the services representing the municipal authority has for urban dwellers. The dirtiness of the city is a form of?clearly informal, but real?political opposition aimed directly at the concrete symbols close to the municipal power and its representatives. The reasoning is that if refuse creates dirt, then ?one can make use of it to dirty?. Keywords: Bobo-Dioulasso; dirtiness; everyday governance; municipal power; Ouagadougou; public urban-sanitation; symbolic political legitimacy; urban dwellers; waste-management service",2008,
Understanding hedge fund alpha using replication methodologies,"Abstract: In this paper we estimate alpha for major hedge fund indexes.Â  To set the stage for estimating alpha, we examine several alternative methods for replicating Hedge Fund Research Inc. hedge fund indexes.Â  The replication methods include stepwise regression,variations of the lasso shrinkage method, principal component regression, partial least squares regression, and dynamic linear regression.Â  We find that the lasso methods and dynamic regression are superior for generating hedge fund index replications and that the performance of the replications corresponds closely to that of the respective actual indexes.Â  Using these superior replications provides us with a solid platform for estimating alpha.Â  We find that at the height of the financial crisis the alphas computed with our methods generally were negative, in early 2009 when the stock market was rising alphas were generally positive, and inthe current environment of low volatility and low interest rates the alphas computed with our methods generally are close to zero and tend to exhibit low volatility.",2014,The Journal of Alternative Investments
Isotopic and palynological evidence for a new Early Jurassic environmental perturbation,"The Early Jurassic Epoch was a predominantly greenhouse phase of Earth history, but a comprehensive understanding of its climate dynamics is hampered by a lack of high resolution multi-proxy environmental records. Here we report a geologically brief (approximately several hundred thousand years) negative carbon isotope excursion (CIE) of 2â€“3â€° in both marine and terrestrial materials, recognised for the first time for the Late Sinemurian Substage (Early Jurassic, ~ 194 Ma) of eastern England. The Late Sinemurian carbon isotope excursion, which is termed the S-CIE herein, is accompanied by peaks in the abundance of the pollen grain Classopollis classoides and the dinoflagellate cyst Liasidium variabile. Classopollis classoides was thermophilic and is a reliable proxy for hot/warm climatic conditions. Liasidium variabile is interpreted as thermophilic and eutrophic using multivariate statistics, its fluorescence properties being similar to living heterotrophic dinoflagellate cysts, and its association with C. classoides. Moreover, the morphological and ecological similarities of L. variabile to the Cenozoic genus Apectodinium are noteworthy. The co-occurrence of the acmes of C. classoides and L. variabile with a negative CIE is interpreted here as having wide geographical significance due to the marine and terrestrial carbon isotope signals being precisely in phase within an open marine setting. This is consistent with an oceanicâ€“atmospheric injection of isotopically-light carbon, coupled with global warming and increased marginal marine nutrient supply, possibly the result of increased precipitation due to an enhanced hydrological cycle or a seasonally-stratified water column. A probable sea level rise of at least regional extent has been identified at the L. variabile event in other records, which supports this putative phase of global warming. All these features are common to the Paleocene/Eocene thermal maximum (PETM, ~ 56 Ma), and there are also similarities with the Early Toarcian oceanic anoxic event (T-OAE, ~ 182 Ma).",2013,"Palaeogeography, Palaeoclimatology, Palaeoecology"
