title,abstract,year,journal
Polar Operators for Structured Sparse Estimation,"Structured sparse estimation has become an important technique in many areas of data analysis. Unfortunately, these estimators normally create computational difficulties that entail sophisticated algorithms. Our first contribution is to uncover a rich class of structured sparse regularizers whose polar operator can be evaluated efficiently. With such an operator, a simple conditional gradient method can then be developed that, when combined with smoothing and local optimization, significantly reduces training time vs. the state of the art. We also demonstrate a new reduction of polar to proximal maps that enables more efficient latent fused lasso.",2013,
Re-Weighted ð“1 Algorithms within the Lagrange Duality Framework: Bringing Interpretability to Weights,"We consider an important problem in signal processing, which consists in finding the sparsest solution of a linear system $\Phi x=b$. This problem has applications in several areas, but is NP-hard in general. Usually an alternative convex problem is considered, based on minimizing the (weighted) $\ell_{1}$ norm. For this alternative to be useful, weights should be chosen as to obtain a solution of the original NP-hard problem. A well known algorithm for this is the Re-Weighted $\ell_{1}$, proposed by Candes, Wakin and Boyd. In this article we introduce a new methodology for updating the weights of a Re-Weighted $\ell_{1}$ algorithm, based on identifying these weights as Lagrange multipliers. This is then translated into an algorithm with performance comparable to the usual methodology, but allowing an interpretation of the weights as Lagrange multipliers. The methodology may also be used for a noisy linear system, obtaining in this case a Re-Weighted LASSO algorithm, with a promising performance according to the experimental results.",2019,ArXiv
How to lasso a plane gravitational wave,"Beginning with the stress-energy tensor of an elastic string this paper derives a relativistic string and its form in a parallel transported Fermi frame including its reduction to a Cosserat string in the Newtonian limit. In a Fermi frame gravitational curvature is seen to induce three dominant relative acceleration terms dependent on: position, velocity and position, strain and position, respectively. An example of a string arranged in an axially flowing ring (a lasso) is shown to have a set of natural frequencies that can be parametrically excited by a monochromatic plane gravitational wave. The lasso also exhibits, in common with spinning particles, oscillations about geodesic motion in proportion to spin magnitude and wave amplitude when the spin axis lies in the gravitational wave front.",2005,General Relativity and Gravitation
Explanatory and Causal Analysis of the MIBEL Electricity Market Spot Price,"This paper analyzes the electricity prices of the MIBEL electricity spot market with respect to a set of possible explanatory variables. Understanding the main drivers of the electricity price is a key aspect in understanding price formation and in developing forecasting models, which are essential for the selling and buying strategies of market agents. For this analysis, different techniques have been applied in this work, including standard and lasso regression models, causal analysis based on bayesian networks and classification trees. Results from the different approaches are coherent and show strong dependency of the electricity prices with the Portuguese imported coal for lower non-dispatchable net demands, which has been progressively replaced by gas for larger non-dispatchable net demands. Hydro reservoirs and hydro production are also main explanatory variables of the electricity price for all non-dispatchable net demand levels.",2019,2019 IEEE Milan PowerTech
A small review and further studies on the LASSO,"Abstract High-dimensional data analysis arises from almost all scienti c areas, evolving withdevelopment of computing skills, and has encouraged penalized estimations that playimportant roles in statistical learning. For the past years, various penalized estimationshave been developed, and the least absolute shrinkage and selection operator (LASSO)proposed by Tibshirani (1996) has shown outstanding ability, earning the rst place onthe development of penalized estimation. In this paper, we rst introduce a number ofrecent advances in high-dimensional data analysis using the LASSO. The topics includevarious statistical problems such as variable selection and grouped or structured variableselection under sparse high-dimensional linear regression models. Several unsupervisedlearning methods including inverse covariance matrix estimation are presented. In ad-dition, we address further studies on new applications which may establish a guidelineon how to use the LASSO for statistical challenges of high-dimensional data analysis.Keywords: High dimension, LASSO, penalized estimation, review.",2013,
Replicability of Machine Learning Models in the Social Sciences: A Case Study in Variable Selection,"Machine learning tools are increasingly used in social sciences and policy fields due to their increase in predictive accuracy. However, little research has been done on how well the models of machine learning methods replicate across samples. We compare machine learning methods with regression on the replicability of variable selection, along with predictive accuracy, using an empirical dataset as well as simulated data with additive, interaction, and non-linear squared terms added as predictors. Methods analyzed include support vector machines (SVM), random forests (RF), multivariate adaptive regression splines (MARS), and the regularized regression variants, least absolute shrinkage and selection operator (LASSO), and elastic net. In simulations with additive and linear interactions, machine learning methods performed similarly to regression in replicating predictors; they also performed mostly equal or below regression on measures of predictive accuracy. In simulations with square terms, machine learning methods SVM, RF, and MARS improved predictive accuracy and replicated predictors better than regression. Thus, in simulated datasets, the gap between machine learning methods and regression on predictive measures foreshadowed the gap in variable selection. In replications on the empirical dataset, however, improved prediction by machine learning methods was not accompanied by a visible improvement in replicability in variable selection. This disparity is explained by the overall explanatory power of the models. When predictors have small effects and noise predominates, improved global measures of prediction in a sample by machine learning methods may not lead to the robust selection of predictors; thus, in the presence of weak predictors and noise, regression remains a useful tool for model building and replication.",2018,Zeitschrift fÃ¼r Psychologie
2018 Abstract Booklet,"Snow White is a well-known 19th century fairy tale by the Grimm Brothers. What is not known to everyone is that Snow White and many of other Grimms' fairy tales that were first published in 1812 were not intended for children. This fairy tale is about a young girl named Snow White whose vain stepmother tries to kill her because she is more beautiful than her. On three different occasions an attempt on Snow White's life is made until she finally succumbs to a poisoned apple. Only upon arrival of a prince, the girl is resurrected back to life. To readers of the fairy tale and to those familiar with Disney's cartoon version, Snow White is an enchanted, charming story in which good overcomes the evil, and in which Snow White lives happily ever after with the prince, while the wrongdoing evil stepmother receives a punishment for her actions. However, to say that the fairy tale is simply about the themes of good and evil, and good prevailing, is not enough. In fact, a lot of questions come to mind: Why is the stepmother jealous of a child? Why does the tale emphasize characteristics of the protagonist such as innocence and beauty? Why does there need to be a prince at the end to rescue Snow White? This research analyzes the fairy tale's underlying sexual morality and tension, and what it tells us about the culture and society at the time it was published. Starting level of inter-cultural competency among undergraduates at MSU, Mankato Jonathon Arndt and Sean O'Rourke Elizabeth Sandell, Faculty Mentor, Educational Studies: Elementary and Early Childhood (Education) The U.S. Bureau of the Census estimates America's whites will become a minority in 2043. All in all, minorities, now 37 percent of the U.S. population, are projected to comprise 57 percent of the population in 2060. The total minority population would more than double, from 116.2 million to 241.3 million over the period.â€ (U.S. Bureau of the Census, 2016). As the population changes, everybody will need to become more inter-culturally competent, including MSU graduates. Therefore, this study examined the starting level of inter-cultural competency (ICC) among undergraduates at MSU, Mankato. According to Hammer & Bennett (2010), ICC is ""the capability to accurately understand and adapt behavior to cultural differences and commonality.â€ Cultural competency is â€œthe ability to communicate and behave in appropriate ways with those who are culturally different and to co-create shared spaces, teams, and organizations that are inclusive, effective, innovative, and satisfying.â€ This research analyzed pre-existing, archived data from about 800 MSU students enrolled in the course, Human Relations in a Multicultural Society (EEC222W). ICC was assessed by the Intercultural Development Inventory (Hammer & Bennett, 2010). Results indicated that individuals perceived they had a high level of intercultural competency. However, data showed that they actually had a relatively low level of ICC. MSU may use this information in considering the effectiveness of its cultural diversity goal: experience diversity with supervised reflection and recognize and respond to conditions of marginalized populations. Politics, Personality, and Poor Decision-Making? Assessing Psychological Variables' Impact on Changing False Knowledge. Steven Arriaza, Sungjin Kim, and Isabella Cock-Villafane Karla Lassonde, Faculty Mentor, Psychology (Social and Behavioral Sciences) With the rising accessibility, and distribution of news through different media sources, the ability to discern factual from fake information becomes crucial. A theory called conceptual change has been widely used to design methods to revise misconceptions. Conceptual change theory asserts that learning depends on abandoning prior knowledge and experiencing dissonance that comes with being incorrect. Thus, a person has to realize their knowledge is incorrect to incorporate new, correct information. A similar approach has been employed for addressing misconceptions on social or political issues with little success. The term â€œbackfire effectâ€ has been used to name the process in which people, in the face of factual evidence, double down on their beliefs. Research indicates that when facts challenge our personal beliefs or moral values then we tend to discredit them as counterfactual, even in the face of overwhelming evidence. In this study we examine how political beliefs, the personality trait open-mindedness, and need for cognition interact with refutation text that are designed to correct false knowledge. The first stage of this study focuses on assessing beliefs. In the second, experimental stage, we present a series of passages about common misconceptions with half of them being shown a refutation and explanation that the misconceptions is untrue and half with no refutation or explanation. We hypothesize that individuals who are found to be more politically extreme in their views, less open-minded, and have little desire to think deeply will be less likely to correct misconceptions when reading refutation texts. African American History presented in Monuments and Museums from Select Cities in Southern United States Sara Baranczyk Angela Cooley, Faculty Mentor, History (Social and Behavioral Sciences) American history is often taught in an incomplete fashion, focusing mainly on the European perspectives. This research focuses on a specific aspect of American history that is often neglected or distorted in the canon representation of historic events: the African American perspective. This project aimed to identify which African American figures are memorialized in monuments and museums and what artistic choices are made to represent them. 3 scholarship texts on racial relations, reconciliation and memorializing history, and artistic choices in monuments were studied before traveling to select cities throughout the Southern United states to view African American historic sites, monuments, and museums. Archival studies of each site were conducted after visiting each site. Significant findings include the non-human representations (such as animal or godlike comparisons) of African Americans. These representations can lead to inaccurate ideas and perspectives of African American persons, both in history and the modern day. Investigating Shading as a Viable Control Method for I. pseudacorus Seed Establishment. Brandon Bentley Matthew Kaproth, Faculty Mentor, Biology (Science, Engineering and Technology) Iris pseudacorus (yellow iris), a wetland invasive species, is documented in all coastal regions of the U.S. and is prevalent in the Great Lakes states and Midwest. States including Connecticut, Massachusetts, Montana, New Hampshire, Oregon, and Washington have listed I. pseudacorus as a noxious weed. I. pseudacorus displaces native vegetation and negatively impacts wetland structure, function, habitat and successional trajectories. Recent research has provided evidence that I. pseudacorus spreads almost entirely by seed and not rhizome fragmentation as previously believed (Gaskin et al., 2016). I. pseudacorus seeds have high viability (Gaskin et al., 2016), can float long distances (Coops and Van Der Velde, 1995 in Tu et al., 2003), and form seed banks with their large, persistent seeds. I. pseudacorus seeds have demonstrated a photorequirement for successful germination (Deno, 1993), which may be a limiting factor in their establishment. Research has also found evidence that treatment/removal effectiveness could be genotype specific (Gaskin et al., 2016). Additional research regarding management and treatment/removal techniques is needed as I. pseudacorus demonstrates a strong potential for re-growth and reestablishment post treatment/removal. We hypothesized that reducing light availability by â‰¥50% would inhibit establishment of I. pseudacorus seeds. We performed a greenhouse experiment with two lighting conditions testing germination and establishment rates to investigate the use of shading as a viable control method for I. pseudacorus seed re-establishment post treatment/removal. We performed the experiment using two seed sources (assumed genetic difference) to establish further evidence that treatment and post-treatment control effectiveness could be genotype specific. Electric Utility Vehicle Samuel Biljan and Issac Leonard Bruce Jones, Faculty Mentor, Automotive Engineering Technology (Science, Engineering and Technology) Gary Mead, Faculty Mentor, Automotive Engineering Technology (Science, Engineering and Technology) Electric vehicles have been becoming more popular with the advancements in battery technology and increased emissions. Electric vehicles have the advantage of being quiet, efficient, powerful and produce no emissions. This has been very beneficial in the automotive industry and is starting to make its way in to off road power sports vehicles. The aim of this research was to determine the requirements and benefits that an electric utility terrain vehicle while keeping performance and usability comparable to the internal combustion engine drive train. The research vehicle was a 2015 Prowler that was donated to the university by Arctic Cat/ Textron Off-Road. This UTV was used for a platform to determine the requirements for the electric drive conversion. With the testing benchmarks such as top speed, range and sound tests were used for the design goals for the electric UTV. Surveys were created to help determine the wants and requirements of a consumer that would be interested in buying an electric drive UTV. One of the largest parts of the research was determining the energy required to reach the target speed of 50 MPH and a 50 mile range while being at 350-volts for the electric motor. An energy requirement calculator was used determine the appropriate battery size for the vehicle. Some of the inputs the calculator included were vehicle weight, tire diameter, rolling resistance, aerodynamic drag, desired speed and",2018,
Pretest and Stein-Type Estimations in Quantile Regression Model,"In this study, we consider preliminary test and shrinkage estimation strategies for quantile regression models. In classical Least Squares Estimation (LSE) method, the relationship between the explanatory and explained variables in the coordinate plane is estimated with a mean regression line. In order to use LSE, there are three main assumptions on the error terms showing white noise process of the regression model, also known as Gauss-Markov Assumptions, must be met: (1) The error terms have zero mean, (2) The variance of the error terms is constant and (3) The covariance between the errors is zero i.e., there is no autocorrelation. However, data in many areas, including econometrics, survival analysis and ecology, etc. does not provide these assumptions. First introduced by Koenker, quantile regression has been used to complement this deficiency of classical regression analysis and to improve the least square estimation. The aim of this study is to improve the performance of quantile regression estimators by using pre-test and shrinkage strategies. A Monte Carlo simulation study including a comparison with quantile $L_1$--type estimators such as Lasso, Ridge and Elastic Net are designed to evaluate the performances of the estimators. Two real data examples are given for illustrative purposes. Finally, we obtain the asymptotic results of suggested estimators",2017,arXiv: Statistics Theory
Camillea Malaysianensis Sp. Nov. and the Distribution of Camillea in Southeast Asia,"The genus Camillea Fr. was erected for those xylariaceous fungi which possess erect cylindrical, or short discoid black stromata and have a hard carbonaceous crust (Fries 1849). In modern accounts this generic concept has been broadened to accommodate those applanate species, formerly placed in Hypoxylon Bull., having light-coloured, ornamented ascospores, that apparently lack a germ slit or pore, which have a bipartite stroma with a dehiscent ectostroma (Laessoe et al. 1989; San Martin Gonzalez & Rogers 1993; Whalley 1995). The ascospores usually appear smooth by light microscopy but by scanning electron microscopy are seen to be characteristically ornamented with warts, spines, pits, reticulations or are longitudinally ribbed (Laessoe et al. 1989; San Martin Gonzalez & Rogers 1993; Whalley 1995; Whalley et al. 1996). Pitted or poroid reticulations are the most frequently observed form and species displaying this type are placed in the subgenus Camillea whilst those species possessing warted ornamentations are referred to the subgenusJongiella (Laessoe et al. 1989; Whalley et al. 1996). The genus is primarily neotropical with the majority of species occurring in the Amazon region (Laessoe et al. 1989). Camillea tinctor (Berk.) Lassoe, J. D. Rogers & Whalley is the only species currently known to be widely distributed and it has been reported from South and Central America, temperate North America, Africa, Singapore, Malaysia, Thailand, Papua New Guinea (Laessoe et al. 1989; Miller 1961; Van der Gucht 1992; Whalley 1993; Thienhirun 1997; Whalley 1995). Originally, Miller (1961) was doubtful about the occurrence of Camillea tinctor in Singapore and suggested that the specimens might have been placed in the wrong packet. Recent collections from Papua New Guinea (Van der Gucht 1992), Malaysia and Thailand (Thienhirun 1997; Whalley 1993, 1997), however, confirm that it is truly pantropical and probably common. The discovery of a second Camillea species, C. selangorensis M. A. Whalley, Whalley & E. B. G. Jones, described as new from",1999,Kew Bulletin
Quantile Regression Applied to Genome-Enabled Prediction of Traits Related to Flowering Time in the Common Bean,"Genomic selection (GS) aims to incorporate molecular information directly into the prediction of individual genetic merit. Regularized quantile regression (RQR) can be used to fit models for all portions of a probability distribution of the trait, enabling the conditional quantile that â€œbestâ€ represents the functional relationship between dependent and independent variables to be chosen. The objective of this study was to predict the individual genetic merits of the traits associated with flowering time (DFFâ€”days to first flower; DTFâ€”days to flower) in the common bean using RQR and to compare the predictive abilities obtained from Random Regression Best Linear Unbiased Predictor (RR-BLUP), Bayesian LASSO (BLASSO), BayesB, and RQR for predicting the genetic merit. GS was performed using 80 genotypes of common beans genotyped for 380 single nucleotide polymorphism (SNP) markers. Considering the â€œbestâ€ RQR fit models (RQR0.3 for DFF, and RQR0.2 for DTF), the gains in predictive ability in relation to BLASSO, BayesB, and RR-BLUP were 18.75%, 22.58%, and 15.15% for DFF, respectively, and 15.20%, 24.65%, and 12.55% for DTF, respectively. The potential cultivars selected, considering the RQR â€œbestâ€ models, were among the 5% of cultivars with the lowest genomic estimated breeding value (GEBV) for the DFF and DTF traitsâ€”the IAC Imperador, IPR Colibri, Capixaba Precoce, and IPR Andorinha were included in the list of early cycle cultivars.",2019,Agronomy
