title,abstract,year,journal
Natural Language or Not (NLoN) - A Package for Software Engineering Text Analysis Pipeline,"The use of natural language processing (NLP) is gaining popularity in software engineering. In order to correctly perform NLP, we must pre-process the textual information to separate natural language from other information, such as log messages, that are often part of the communication in software engineering. We present a simple approach for classifying whether some textual input is natural language or not. Although our NLoN package relies on only 11 language features and character tri-grams, we are able to achieve an area under the ROC curve performances between 0.976-0.987 on three different data sources, with Lasso regression from Glmnet as our learner and two human raters for providing ground truth. Cross-source prediction performance is lower and has more fluctuation with top ROC performances from 0.913 to 0.980. Compared with prior work, our approach offers similar performance but is considerably more lightweight, making it easier to apply in software engineering text mining pipelines. Our source code and data are provided as an R-package for further improvements.",2018,2018 IEEE/ACM 15th International Conference on Mining Software Repositories (MSR)
Development of a preprocedure nomogram for predicting contrast-induced acute kidney injury after coronary angiography or percutaneous coronary intervention,"Most of the risk models for predicting contrast-induced acute kidney injury (CI-AKI) are available for postcontrast exposure prediction, thus have limited values in practice. We aimed to develop a novel nomogram based on preprocedural features for early prediction of CI-AKI in patients after coronary angiography (CAG) or percutaneous coronary intervention (PCI). A total of 245 patients were retrospectively reviewed from January 2015 to January 2017. Least absolute shrinkage and selection operator (Lasso) regression model was applied to select most strong predictors for CI-AKI. The CI-AKI risk score was calculated for each patient as a linear combination of selected predictors that were weighted by their respective coefficients. The discrimination of nomogram was assessed by C-statistic. The occurrence of CI-AKI was 13.9% (34 out of 245). We identified ten predictors including sex, diabetes mellitus, lactate dehydrogenase level, C-reactive protein, years since drinking, chronic kidney disease (CKD), stage of CKD, stroke, acute myocardial infarction, and systolic blood pressure. The CI-AKI prediction nomogram obtained good discrimination (C-statistic, 0.718, 95%CI: 0.637-0.800, p = 7.23 Ã— 10-5). The cutoff value of CI-AKI risk score was -1.953. Accordingly, the novel nomogram we developed is a simple and accurate tool for preprocedural prediction of CI-AKI in patients undergoing CAG or PCI.",2017,Oncotarget
A plea for taking all available clinical information into account when assessing the predictive value of omics data,"BackgroundOmics data can be very informative in survival analysis and may improve the prognostic ability of classical models based on clinical risk factors for various diseases, for example breast cancer. Recent research has focused on integrating omics and clinical data, yet has often ignored the need for appropriate model building for clinical variables. Medical literature on classical prognostic scores, as well as biostatistical literature on appropriate model selection strategies for low dimensional (clinical) data, are often ignored in the context of omics research. The goal of this paper is to fill this methodological gap by investigating the added predictive value of gene expression data for models using varying amounts of clinical information.MethodsWe analyze two data sets from the field of survival prognosis of breast cancer patients. First, we construct several proportional hazards prediction models using varying amounts of clinical information based on established medical knowledge. These models are then used as a starting point (i.e. included as a clinical offset) for identifying informative gene expression variables using resampling procedures and penalized regression approaches (model based boosting and the LASSO). In order to assess the added predictive value of the gene signatures, measures of prediction accuracy and separation are examined on a validation data set for the clinical models and the models that combine the two sources of information.ResultsFor one data set, we do not find any substantial added predictive value of the omics data when compared to clinical models. On the second data set, we identify a noticeable added predictive value, however only for scenarios where little or no clinical information is included in the modeling process. We find that including more clinical information can lead to a smaller number of selected omics predictors.ConclusionsNew research using omics data should include all available established medical knowledge in order to allow an adequate evaluation of the added predictive value of omics data. Including all relevant clinical information in the analysis might also lead to more parsimonious models. The developed procedure to assess the predictive value of the omics data can be readily applied to other scenarios.",2019,BMC Medical Research Methodology
Parallelization with Multiplicative Algorithms for Big Data Mining,"We propose a nontrivial strategy to parallelize a series of data mining and machine learning problems, including 1-class and 2-class support vector machines, nonnegative least square problems, and $\ell_1$ regularized regression (LASSO) problems. Our strategy fortunately leads to extremely simple multiplicative algorithms which can be straightforwardly implemented in parallel computational environments, such as Map Reduce, or CUDA. We provide rigorous analysis of the correctness and convergence of the algorithm. We demonstrate the scalability and accuracy of our algorithms in comparison with other current leading algorithms.",2012,2012 IEEE 12th International Conference on Data Mining
Sparse Regression Based Structure Learning of Stochastic Reaction Networks from Single Cell Snapshot Time Series,"Stochastic chemical reaction networks constitute a model class to quantitatively describe dynamics and cell-to-cell variability in biological systems. The topology of these networks typically is only partially characterized due to experimental limitations. Current approaches for refining network topology are based on the explicit enumeration of alternative topologies and are therefore restricted to small problem instances with almost complete knowledge. We propose the reactionet lasso, a computational procedure that derives a stepwise sparse regression approach on the basis of the Chemical Master Equation, enabling large-scale structure learning for reaction networks by implicitly accounting for billions of topology variants. We have assessed the structure learning capabilities of the reactionet lasso on synthetic data for the complete TRAIL induced apoptosis signaling cascade comprising 70 reactions. We find that the reactionet lasso is able to efficiently recover the structure of these reaction systems, ab initio, with high sensitivity and specificity. With only < 1% false discoveries, the reactionet lasso is able to recover 45% of all true reactions ab initio among > 6000 possible reactions and over 102000 network topologies. In conjunction with information rich single cell technologies such as single cell RNA sequencing or mass cytometry, the reactionet lasso will enable large-scale structure learning, particularly in areas with partial network structure knowledge, such as cancer biology, and thereby enable the detection of pathological alterations of reaction networks. We provide software to allow for wide applicability of the reactionet lasso.",2016,PLoS Computational Biology
Spectral Deconfounding and Perturbed Sparse Linear Models,"Standard high-dimensional regression methods assume that the underlying coefficient vector is sparse. This might not be true in some cases, in particular in presence of hidden, confounding variables. Such hidden confounding can be represented as a high-dimensional linear model where the sparse coefficient vector is perturbed. We develop and investigate a class of methods for such model. We propose some spectral transformations, which change the singular values of the design matrix, as a preprocessing step for the data which serves as input for the Lasso. We show that, under some assumptions, one can achieve the optimal $\ell_1$-error rate for estimating the underlying sparse coefficient vector. We also illustrate the performance on simulated data and a real-world genomic dataset.",2018,arXiv: Methodology
Automatic feed phase identification in multivariate bioprocess profiles by sequential binary classification.,"In this paper, we propose a new strategy for retrospective identification of feed phases from online sensor-data enriched feed profiles of an Escherichia Coli (E.Â coli) fed-batch fermentation process. In contrast to conventional (static), data-driven multi-class machine learning (ML), we exploit process knowledge in order to constrain our classification system yielding more parsimonious models compared to static ML approaches. In particular, we enforce unidirectionality on a set of binary, multivariate classifiers trained to discriminate between adjacent feed phases by linking the classifiers through a one-way switch. The switch is activated when the actual classifier output changes. As a consequence, the next binary classifier in the classifier chain is used for the discrimination between the next feed phase pair etc. We allow activation of the switch only after a predefined number of consecutive predictions of a transition event in order to prevent premature activation of the switch and undertake a sensitivity analysis regarding the optimal choice of the (time) lag parameter. From a complexity/parsimony perspective the benefit of our approach is three-fold: i) The multi-class learning task is broken down into binary subproblems which usually have simpler decision surfaces and tend to be less susceptible to the class-imbalance problem. ii) We exploit the fact that the process follows a rigid feed cycle structure (i.e. batch-feed-batch-feed) which allows us to focus on the subproblems involving phase transitions as they occur during the process while discarding off-transition classifiers and iii) only one binary classifier is active at the time which keeps effective model complexity low. We further use a combination of logistic regression and Lasso (i.e. regularized logistic regression, RLR) as a wrapper to extract the most relevant features for individual subproblems from the whole set of high-dimensional sensor data. We train different soft computing classifiers, including decision trees (DT), k-nearest neighbors (k-NN), support vector machines (SVM) and an own developed fuzzy classifier and compare our method with conventional multi-class ML. Our results show a remarkable out-performance of the here proposed method over static ML approaches in terms of accuracy and robustness. We achieved close to error free feed phase classification while reducing the misclassification rates in 17 out of 20 investigated test cases in the range between 39% and 98.2% depending on feature set and classifier architecture. Models trained on features based on selection by RLR significantly outperformed those trained on features suggested by experts and their predictive performance was considerably less affected by the choice of the lag parameter.",2017,Analytica chimica acta
Sample size determination for training cancer classifiers from microarray and RNA-seq data,"The objective of many high-dimensional microarray and RNA-seq studies is to develop a classifier of cancer patients based on characteristics of their disease. The germinal center B-cell (GCB) classifier study in lymphoma and the National Cancer Institute's Director's Challenge lung (DC-lung) study are two examples. In recent years, such classifiers are often developed using regularized regression, such as the lasso. A critical question is whether a better classifier can be developed from a larger training set size and, if so, how large the training set should be. This paper examines these two questions using an existing sample size method and a novel sample size method developed here specifically for lasso logistic regression. Both methods are based on pilot data. We reexamine the lymphoma and lung cancer data sets to evaluate the sample sizes, and use resampling to assess the estimation methods. We also study application to an RNA-seq data set. We find that it is feasible to estimate sample size for regularized logistic regression if an adequate pilot data set exists. The GCB and the DC-lung data sets appear adequate, under specific assumptions. Existing human RNA-seq data sets are by and large inadequate, and cannot be used as pilot data. Pilot RNA-seq data can be simulated, and the methods in this paper can be used for sample size estimation. A MATLAB program is made available.",2015,The Annals of Applied Statistics
A Comparative Study of Single-Trait and Multi-Trait Genomic Selection,"In recent years of animal and plant breeding research, genomic selection (GS) became a choice for selection of appropriate candidate for breeding as it significantly contributes to enhance the genetic gain. Various studies related to GS have been carried out in the recent past. These studies were mostly confined to single trait. Although GS methods based on single trait have not performed very well in cases like pleiotropy, missing data and when the trait under study has low heritability. Gradually, some studies were carried out to explore the possibility of methods for GS based on multiple traits in the view of overcoming the above-mentioned problems in the method of single-trait GS (STGS). Currently, multi-trait-based GS methods are getting importance as it exploits the information of correlated structure among response. In this study, we have compared various methods related to STGS, such as stepwise regression, ridge regression, least absolute shrinkage and selection operator (LASSO), Bayesian, best linear unbiased prediction, and support vector machine, and multi-trait-based GS methods, such as multivariate regression with covariance estimation, conditional Gaussian graphical models, mixed model, and LASSO. In almost all cases, multi-trait-based methods are found to be more accurate. Based on the results of this study, it may be concluded that multi-trait-based methods have great potential to increase genetic gain as they utilize the correlation among the response variable as extra information, which contributes to estimate breeding value more precisely. This study is a comprehensive review of the methods of GS right from single trait to multiple traits and comparisons among these two classes.",2019,Journal of computational biology : a journal of computational molecular cell biology
OEM for least squares problems,"We propose an algorithm, called OEM (a.k.a. orthogonalizing EM), intended for var- ious least squares problems. The first step, named active orthogonization, orthogonalizes an arbi- trary regression matrix by elaborately adding more rows. The second step imputes the responses of the new rows. The third step solves the least squares problem of interest for the complete orthog- onal design. The second and third steps have simple closed forms, and iterate until convergence. The algorithm works for ordinary least squares and regularized least squares with the lasso, SCAD, MCP and other penalties. It has several attractive theoretical properties. For the ordinary least squares with a singular regression matrix, an OEM sequence converges to the Moore-Penrose gen- eralized inverse-based least squares estimator. For the SCAD and MCP, an OEM sequence can achieve the oracle property after sufficient iterations for a fixed or diverging number of variables. For ordinary and regularized least squares with various penalties, an OEM sequence converges to a point having grouping coherence for fully aliased regression matrices. Convergence and convergence rate of the algorithm are examined. These convergence rate results show that for the same data set, OEM converges faster for regularized least squares than ordinary least squares. This provides a new theoretical comparison between these methods. Numerical examples are provided to illustrate the proposed algorithm.",2011,arXiv: Computation
