title,abstract,year,journal
"Fabrication, calibration, and recovery of chemical nanosensor array for ammonia detection","The low selectivity of nanosensors is one of their major obstacles for their wide deployment. To enhance the selectivity, nanosensor array made from zinc oxide (ZnO) nanowires and carbon nanotubes (CNTs) was assembled through dielectrophoresis (DEP). The fabricated nanosensor array was used to detect ammonia (NH3) in a well-controlled environment at room temperature. Because of their opposite material types, ZnO nanowire based sensor behaved oppositely to CNT based sensor. In this study, it is also demonstrated that DC biases can quickly recover both sensing elements. After collecting sensing signals from two transducers under different NH3 concentrations, the concentration of NH3 can be estimated through regression methods. It is shown that quadratic model with the lasso performs well on the collected data.",2017,2017 IEEE 17th International Conference on Nanotechnology (IEEE-NANO)
Fast FSR methods for second-order linear regression models,"CREWS, HUGH BATES. Fast FSR Methods for Second-Order Linear Regression Models. (Under the direction of Leonard Stefanski and Dennis Boos.) Many variable selection techniques have been developed that focus on first-order linear regression models. In some applications, such as modeling response surfaces, fitting second-order terms can improve predictive accuracy. However, the number of spurious interactions can be large leading to poor results with many methods. We focus on forward selection, describing algorithms that use the natural hierarchy existing in second-order linear regression models to limit spurious interactions. We then develop stopping rules by extending False Selection Rate methodology to these algorithms. In addition, we describe alternative estimation methods for fitting regression models including the LASSO, CART, and MARS. We also propose a general method for controlling multiple-group false selection rates, which we apply to second-order linear regression models. By estimating a separate entry level for first-order and secondorder terms, we obtain equal contributions to the false selection rate from each group. We compare the methods via Monte Carlo simulation and apply them to optimizing response surface experimental designs. Fast FSR Methods for Second-Order Linear Regression Models",2008,
Statistical and Network Analysis of Metabolomics Data,"Metabolomics encompasses analysis of metabolites using profiling techniques such as mass spectroscopy (MS) and nuclear magnetic resonance (NMR). Statistical analysis is performed on the profiled data to determine variations in the levels of metabolites. The goal here is to reveal relationships between the variations in the concentrations of metabolites and specific pathophysiological conditions such as diseases or external factors. Metabolomics has been widely used to characterize metabolites in various body fluids such as saliva, serum and urine in various fields of medical research including cancer [3], cardialogy [6], diabetes [5], human infections [12], neurology [7], neonatology [4] and respiratory diseases [2] to name a few.
 In the statistical analysis of metabolomics data, many methods are used which can be categorized as univariate and multivariate analysis methods. Univariate methods are very commonly applied due to their ease of use and interpretation. These methods consider metabolomic features (variables) one at a time independent of each other, thus, ignoring correlations with other features. Moreover, as pointed by Alonso et al. [1], these methods ignore confounding variables such as age, gender, body mass index (BMI), which may lead to incorrect results [13, 15]. On the other hand, multivariate methods consider all the features and their correlations during data analysis. These methods include unsupervised methods such as principal component analysis (PCA), and supervised methods such as partial least squares (PLS) and support vector machine (SVM). Alonso et al. has provided a review of univariate and multivariate methods used in metabolomics. To the best of our knowledge, there are many state of the art statistical methods that have not be used for metabolomic data analysis. A significant advantage of these methods over commonly used methods is their ability to process high-dimensional data. Along with state-of-the-art statistical methods we have used differential network analysis to identify variations at system level.
 In this work we have analyzed urine samples from Qatar Metabolomics Study on Diabetes (QMDiab) for identification of potential biomarkers. QMDiab was conducted by Hamad Medical Corporation, Qatar (HMC) and Weill Cornell Medical College, Qatar in 2012 with approval from the Institutional Review Boards of HMC and Weill Cornell Medical College-Qatar (Research Protocol number 11131/11). Written informed consent was obtained from all participants. Subjects in the study included males and females from Arab and Asian ethnicities aging 17-81 years. Urine samples were sent to Chenomx Inc., Alberta, Canada for proton nuclear magnetic resonance (1H NMR). Although the original study was targeting investigation of type 2 diabetes, in this paper we are focusing on obesity as well by using BMI as a representative measure of obesity.
 In this work we have used regularization models and differential network analysis. We have used the elastic net, glinternet, the lasso projection and high-dimensional inference. The elastic net uses L1 and L2 penalty resulting in a mix of ridge and lasso regression. The glinternet is a group-lasso based method developed by Lim and Hastie [9]. The method learns pairwise interactions of variables in linear regression models satisfying strong hierarchy. The lasso projection (lasso proj) or de-sparsified lasso is a regularization based method that performs statistical inference of low dimensional parameters with high dimensional data [17]. The method uses low dimension projection approach to construct confidence intervals for the estimated regression parameters. The high-dimensional inference computes P-values of variables and associated confidence intervals in high-dimensional data [10].
 Further, we performed differential network analysis to identify variable interactions, which differentiate between diabetic and non-diabetic, or obese and lean subjects. The network is constructed using mutual information between the variables for different groups of samples. We applied the differential network analysis, dGHD algorithm, proposed by Ruan et al. [14] for detecting interaction patterns, which differentiate two networks. The algorithm uses the Generalised Hamming Distance (GHD) for calculating topological differences between the networks along with computation of their statistical significance.
 It is astonishing that the proposed methods, which have not been applied in the field yet, identify potential biomarkers, proposed in the literature by previous studies, in a small dataset. The results for the elastic net, the glinternet and the lasso proj are summarized in Table 1. For diabetes analysis, identified significant variables include age, betaine, glycolate and glucose, well known biomarkers for diabetes [8, 11]. For obesity analysis, identified significant variables include age, dimethylamine, succinate and cis-aconitate, previously identified by [16]. The high-dimensional inference only identified age and betaine for diabetes study.
 We conclude that state-of-the-art statistical and network analysis methods can be used for metabolomics data analysis for datasets with limited number of samples. The number of metabolomic features is increasing with the advancement of technologies. The ability of these methods to handle high-dimensional data make them suitable in the settings where the number of samples is smaller than the number of features. These methods can help in identification potential biomarkers in future studies.",2016,"Proceedings of the 7th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics"
Blood Saturation Decreasing Level Based on the Features of a Spirogram Signal,"Obstructive sleep apnea is a common disease associated with respiratory processes during sleep due to the narrowing of the upper respiratory airways, which leads to a decrease in the amount of oxygen in arterial blood flow - SpO2 â€“ to human internal organs. Low blood saturation values can lead to serious consequences in the patient's health, and it can be monitored, for example, using pulsoximetry sensors. In this article a comparative analysis of various regression approaches â€“ Support Vector Regression (SVR), Gradient Boosting, Lasso Regression, Ridge Regression and Sequential Neural Network-was carried out in order to discover an opportunity for predicting SpO2 level decreasing basing on the features of a spirogram for 4 different patients separately. The best results of R2 determination score were shown by models based on SVR and Neural Network: 0.6878 and 0.6697. The best correlation coefficient between the ground truth blood saturation decreasing and the predicted values was 0.9019 for the Support Vector Regressor model.",2019,"2019 Ural Symposium on Biomedical Engineering, Radioelectronics and Information Technology (USBEREIT)"
Selecting Shrinkage Parameters for Effect Estimation: The Multi-Ethnic Study of Atherosclerosis,"We present a method for improving estimation in linear regression models in samples of moderate size, using shrinkage techniques. Our work connects the theory of causal inference, which describes how variable adjustment should be performed with large samples, with shrinkage estimators such as ridge regression and the least absolute shrinkage and selection operator (LASSO), which can perform better in sample sizes seen in epidemiologic practice. Shrinkage methods reduce mean squared error by trading off some amount of bias for a reduction in variance. However, when inference is the goal, there are no standard methods for choosing the penalty ""tuning"" parameters that govern these tradeoffs. We propose selecting the penalty parameters for these shrinkage estimators by minimizing bias and variance in future similar data sets drawn from the posterior predictive distribution. Our method provides both the point estimate of interest and corresponding standard error estimates. Through simulations, we demonstrate that it can achieve better mean squared error than using cross-validation for penalty parameter selection. We apply our method to a cross-sectional analysis of the association between smoking and carotid intima-media thickness in the Multi-Ethnic Study of Atherosclerosis (multiple US locations, 2000-2002) and compare it with similar analyses of these data.",2018,American Journal of Epidemiology
Mod eling Propensity for Readmissions with Claims Data,"We built a predictive model for hospital readmissions using claims data. The probability of hospital readmission was computed as a logit model. The coefficients for the logit model were trained with a Lasso regression on a set of 237,129 patients and tested on 70,465. The modelâ€™s discriminative power evaluated via ROC was 0.813 and its calibration had p <0.05 assessed using the Hosmer-Lemeshow test.",2011,
Oracle Efficient Estimation and Forecasting with the Adaptive Lasso and the Adaptive Group Lasso in Vector Autoregressions,"We show that the adaptive Lasso (aLasso) and the adaptive group Lasso (agLasso) are oracle efficient in stationary vector autoregressions where the number of parameters per equation is smaller than the number of observations. In particular, this means that the parameters are estimated consistently at root T rate, that the truly zero parameters are classiffied as such asymptotically and that the non-zero parameters are estimated as efficiently as if only the relevant variables had been included in the model from the outset. The group adaptive Lasso differs from the adaptive Lasso by dividing the covariates into groups whose members are all relevant or all irrelevant. Both estimators have the property that they perform variable selection and estimation in one step. We evaluate the forecasting accuracy of these estimators for a large set of macroeconomic variables. The Lasso is found to be the most precise procedure overall. The adaptive and the adaptive group Lasso are less stable but mostly perform at par with the common factor models.",2012,
Inference of high-dimensional linear models with time-varying coefficients,"We propose a pointwise inference algorithm for high-dimensional linear models with time-varying coefficients. The method is based on a novel combination of the nonparametric kernel smoothing technique and a Lasso bias-corrected ridge regression estimator. First, due to the non-stationarity feature of the model, dynamic bias-variance decomposition of the estimator is obtained. Second, by a bias-correction procedure according to our fundamental representation, the local null distribution of the proposed estimator of the time-varying coefficient vector is characterized to compute the p-values for the iid Gaussian and heavy-tailed errors. In addition, the limiting null distribution is also established for Gaussian process errors and we show that the asymptotic properties have dichotomy features between short-range and long-range dependent errors. Third, the p-values are further adjusted by a Bonferroni-type correction procedure, which is provably to control the familywise error rate (FWER) in the asymptotic sense at each time point. Finally, finite sample size performance of the proposed inference algorithm on a synthetic data and a real application to learn brain connectivity by using the resting-state fMRI data for Parkinson's disease are illustrated.",2015,arXiv: Methodology
Asset Allocation Under Predictability and Parameter Uncertainty Using LASSO,"We consider a short-term investor who exploits return predictability in stocks and bonds to maximize mean-variance utility. Since the true parameters are unknown, we resort to portfolio optimization in form of linear regression with LASSO in order to mitigate problems related to estimation errors as done by Li (2015). As standard cross-validation relies on the assumption of i.i.d. returns, we propose a new type of cross-validation that selects Î» from simulated returns sampled from a multivariate normal distribution. We find an inverse U-shaped relationship between selected Î» and expected utility, and we show that the optimal value of Î» declines as the number of observations used to estimate the parameters increases. We finally show how our strategy outperforms some commonly employed benchmarks.",2019,
Markers of neuroinflammation associated with Alzheimerâ€™s disease pathology in older adults,"BACKGROUND
In vitro and animal studies have linked neuroinflammation to Alzheimer's disease (AD) pathology. Studies on markers of inflammation in subjects with mild cognitive impairment or AD dementia provided inconsistent results. We hypothesized that distinct blood and cerebrospinal fluid (CSF) inflammatory markers are associated with biomarkers of amyloid and tau pathology in older adults without cognitive impairment or with beginning cognitive decline.


OBJECTIVE
To identify blood-based and CSF neuroinflammation marker signatures associated with AD pathology (i.e. an AD CSF biomarker profile) and to investigate associations of inflammation markers with CSF biomarkers of amyloid, tau pathology, and neuronal injury.


DESIGN/METHODS
Cross-sectional analysis was performed on data from 120 older community-dwelling adults with normal cognition (n=48) or with cognitive impairment (n=72). CSF AÎ²1-42, tau and p-tau181, and a panel of 37 neuroinflammatory markers in both CSF and serum were quantified. Least absolute shrinkage and selection operator (LASSO) regression was applied to determine a reference model that best predicts an AD CSF biomarker profile defined a priori as p-tau181/AÎ²1-42 ratio >0.0779. It was then compared to a second model that included the inflammatory markers from either serum or CSF. In addition, the correlations between inflammatory markers and CSF AÎ²1-42, tau and p-tau181 levels were assessed.


RESULTS
Forty-two subjects met criteria for having an AD CSF biomarker profile. The best predictive models included 8 serum or 3 CSF neuroinflammatory markers related to cytokine mediated inflammation, vascular injury, and angiogenesis. Both models improved the accuracy to predict an AD biomarker profile when compared to the reference model. In analyses separately performed in the subgroup of participants with cognitive impairment, adding the serum or the CSF neuroinflammation markers also improved the accuracy of the diagnosis of AD pathology. None of the inflammatory markers correlated with the CSF AÎ²1-42 levels. Six CSF markers (IL-15, MCP-1, VEGFR-1, sICAM1, sVCAM-1, and VEGF-D) correlated with the CSF tau and p-tau181 levels, and these associations remained significant after controlling for age, sex, cognitive impairment, and APOEÎµ4 status.


CONCLUSIONS
The identified serum and CSF neuroinflammation biomarker signatures improve the accuracy of classification for AD pathology in older adults. Our results suggest that inflammation, vascular injury, and angiogenesis as reflected by CSF markers are closely related to cerebral tau pathology.",2017,"Brain, Behavior, and Immunity"
