title,abstract,year,journal
Medicine Discrimination of NIRS Based on Regularized Collaborative Representation Classification with Gabor Optimizer,"Counterfeit medicine still exists widely, which have affected our health and life. So the discrimination (classification) of medicine is becoming more and more important. Then near-infrared spectroscopy (NIRS) is a popular and effective technique used on the medicine classification with nondestructive characteristics. To solve the discrimination of medicines, the sparse signal representation model is established in the presence of spectrum crossover and overlapping. However, the sparsity of nonzero representation coefficients is low during solving the \( L_{ 2} \)-norm on representation model. To overcome this problem, in this paper a novel classification modelâ€”regularized collaborative representation classification with Gabor optimizer (RCRCG) is proposed. Gabor filter is adopted to control the \( L_{2} \)-norm for the more relevant factor vectors. Then Lasso regulation on local classification is proved to improve the accuracy on the medicine discrimination. The experiments using NIRS samples from the three datasets (active substance, Erythromycin Ethylsuccinate and Domperidone) show that the proposed method is more effective and robust than the existing ones, and it has speed-up about 1 times compared with the Sparse Representation based Classification (SRC) and Class \( L_{1} \)-optimizer classifier with the closeness rule (C_CL1C).",2019,
"Environmental and correlative significance of a non-marine algal limestone (Westphalian D), Sydney Coalfield, Cape Breton Island, Nova Scotia","The occurrence of an algal limestone containing stromatolites within the Morien Group (Sydney Coalfield) is reported for the first time. Three distinct morphologic forms of stromatolite (pinnacle, mat and detached) and their stratigraphic variation are described. Variation in clast type and size, biota and elements within the algal limestone is interpreted as evidence for the growth of stromatolites on the shore of an ephemeral, fresh to brackish lake, subject to fluctuating water levels. Pinnacle and mat forms developed on substrate irregularities. A bivalve and ostracode fauna in mudatones and siltstones above and below the algal limestone indicates a correlation with the Anthraconauta tenuis chronozone of Britain (Westphalian D) and corroborates on age derived from associated macro- and microflora. 
 
 RESUME 
 Four la premiere fols, on rapporte la presence de stromatolithes dans un calcaire a algues du groupe Morien (houilliere de Sydney). Trois types morphologlques de stromatolithes (pinacle, paillasson, detache) et leur variation stratigraphique sont decrite. On interprete la variation dans la faune, la flore, les elements, le type et la grosseur des fragment a au seln du calcaire a algues comme preuve de la croissance des stromatolithes sur les rives d'un lac ephemere, d'eau douce a saunÃ¢tre et sujet a des variations periodiques du niveau d'eau. Les formes en pinacle et en paillasson s'etablirent sur les irregularites du substrat. Une faune de bivalves et d'ostracodes dans lea roches arglleuses superposees et sous-jacentes au calcaire a algues est correlative avec la zone chronologique Anthraconauta tenuis de Grande-Bretagne (Westphalien D) et confirme l'Ã¢ge deduit de la macro et la micro flore. 
 
[Traduit par le journal]",1983,Atlantic Geology
Model-assisted calibration of non-probability sample survey data using adaptive LASSO,"The probability-sampling-based framework has dominated survey research because it provides precise mathematical tools to assess sampling variability. However increasing costs and declining response rates are expanding the use of non-probability samples, particularly in general population settings, where samples of individuals pulled from web surveys are becoming increasingly cheap and easy to access. But non-probability samples are at risk for selection bias due to differential access, degrees of interest, and other factors. Calibration to known statistical totals in the population provide a means of potentially diminishing the effect of selection bias in non-probability samples. Here we show that model calibration using adaptive LASSO can yield a consistent estimator of a population total as long as a subset of the true predictors is included in the prediction model, thus allowing large numbers of possible covariates to be included without risk of overfitting. We show that the model calibration using adaptive LASSO provides improved estimation with respect to mean square error relative to standard competitors such as generalized regression (GREG) estimators when a large number of covariates are required to determine the true model, with effectively no loss in efficiency over GREG when smaller models will suffice. We also derive closed form variance estimators of population totals, and compare their behavior with bootstrap estimators. We conclude with a real world example using data from the National Health Interview Survey.",2018,
Microbial community profiles grown on 1020 carbon steel surfaces in seawater-isolated microcosm,"Corrosion of metallic alloys is a concern worldwide, with impacts affecting different production sectors and consequent economic losses in the order of billions of dollars annually. Biocorrosion is a form of corrosion where the participation of microorganisms can induce, accelerate, or inhibit corrosive processes. In this study, it was evaluated that the changes in profile communities, by the sequencing of the 16S ribosomal gene, grown over steel coupons in a microcosm with no additional oxygen supplementation for 120 days. Analysis of abundance and diversity indices indicates marked changes in microbial structures throughout the 120-day period. Homology results of OTUs generated by Illumina sequencing indicated Proteobacteria phylum as the dominant group, comprising about 85.3% of the total OTUs, followed by Firmicutes and Bacteriodetes, both with 7.35%. Analyses at lower taxonomic levels suggested the presence of representatives described as corroders, such as Citreicella thiooxidans, Thalassospira sp., and Limnobacter thiooxidans. In conclusion, the results suggest that no additional oxygen supplementation profoundly altered the core of microbial communities, with a predominance of facultative anaerobic species.",2020,Annals of Microbiology
"El nas creador de somriures.: Entrevista a Jaume Mateu, Tortell Poltrona","En Jaume ens rep entre les caravanes i el verd del paratge privilegiat de l?estany de Banyoles, on aquest cap de setmana tenen muntada la lona. El circ Cric es com el seu creador: brillant, grandios, incansable, sensible, modern, solidari i lluitador. El Cric, format el 1980, l?ONG Pallassos sense Fronteres (1993), el CRAC (Centre de Recerca de les Arts del Circ, fundat el 1995) i una llista llarguissima de projectes, actuacions, premis i reconeixements nacionals i internacionals, son el fruit de la perseveranca de Jaume Mateu, Tortell Poltrona. Assistiu al Cric, un dels espectacles mes poetics, trepidants i emotius de les nostres terres: hi veureu tambe un dels fruits mes sucosos de la seva tasca. Un fruit que se sintetitza amb la visio dels espectadors, infants i adults fascinats que aplaudeixen amb la mateixa emocio les acrobacies i les dosis de poesia que surten de l?actuacio d?en Tortell Poltrona: el pallasso que amb el seu nas vermell ha fet sortir volant els somriures de la lona i els ha projectat mes enlla de totes les fronteres que us pugueu imaginar.",2006,
Traditionality of mating-site preferences in a coral reef fish,"Mating systems are often viewed as a result of females choosing where, when and with whom to mate1,2, and of male responses to female behaviour3,4. If the distribution of females reflects their response to vital resources for survival and reproduction, then a careful study of these resources should yield predictions about the emergent mating system. Males and females could, however, simply gather at traditional sites to mate5. If so, analysis of the current state of the environment may yield incorrect predictions about mating sites5â€“9. Mating sites of the bluehead wrasse Thalassoma bifasciatum have remained in daily use over 12 years (four generations) without changing locations. Here, I show that experimental replacement of entire local populations led to the use of new sites, which continued to be used after the manipulations. Thus mating site locations may not be the result of individual assessment of current resource quality, but instead represent culturally transmitted traditions. Attempts to explain mating patterns based on the distribution of resources should therefore be approached with caution.",1988,Nature
A New Frog of the Genus Eleutherodactylus from Western Panama,"Eleutherodactylus jota sp. nov. is named from Bocas del Toro province in western Panama. It is closely allied to E. bransfordii (with which it is sympatric) and E. podiciferus (found at higher altitudes) but readily differs from each in having folds along the forearm and tarsus, a calcar, and a short first toe, as well as in snout shape. In the course of searching for a Middle American representative of the discoidalis Group of Eleutherodactylus, I found a small sample of a distinctive Eleutherodactylus species from western Panama. Although superficially resembling E. dolops Lynch & Duellman, E. elassodiscus Lynch, E. mantipus (Boulenger), and E. nigrovittatus Anderson (the discoidalis Group representatives of northwestern South America), the Panamanian frogs have feebly areolate skin of the venter and a short first finger as do E. bransfordii (Cope) and E. podiciferus (Cope). All of these frogs have broad vomerine odontophores (Fig. 1C). In the account below, the following abbreviations are employed: SVLsnout-vent length; HW--head width; IOD--interorbital distance; E-Neye to nostril distance. Eleutherodactylus jota sp. nov. Holotype. KU 115212, an adult female, obtained along the Rio Changena, Provincia Bocas del Toro, Panama, 830 m, by Linda Trueb 18 May 1966. Paratypes. KU 115213-17, collected syntopically. Diagnosis. A small Eleutherodactylus (4 adult females 24.5 to 28.5 mm SVL) similar to E. bransfordii (Cope) and E. podiciferus (Cope) in habitus but differing from each in having prominent ulnar and outer tarsal folds, a calcar on the heel,; depressed snout, and in lacking discs on fingers. The inner metatarsal tubercle is much shorter than the first toe in E. bransfordii and E. podiciferus whereas it is as long as the first toe in E. jota. This content downloaded from 157.55.39.208 on Fri, 14 Oct 2016 04:27:37 UTC All use subject to http://about.jstor.org/terms 102 TRANSACTIONS OF THE KANSAS ACADEMY OF SCIENCES Description. Head narrower than body, broader than long; HW 40.844.2 ( = 42.6, n = 6) percent SVL, broadest in two juvenile females; snout ovoid in dorsal view, depressed and somewhat pointed in profile (Fig. 1); snout long, E-N 83.3-100.00 (v = 94.4, n = 6) percent eye length; nostrils protuberant, directed dorsolaterally; canthus rostralis sharp, slightly concave; loreal region flat, sloping abruptly to lips; lips not flared; upper eyelid bearing 3-6 small, non-pungent tubercles, its width 44.2-60.5 ( = 54.8, n = 6) percent IOD; no cranial crests; temporal region slightly sloping (not vertical); tympanum superficial, annulus not distinct unless specimen dries; tympanum higher than long, its length 60.0-73.9 (i= 64.8, n = 6) percent eye length; tympanum separated from eye by distance equal 1-1/2 tympanum lengths; supratympanic fold indistinct above tympanum, prominent posterior to tympanum, not concealing tympanic annulus; subconical postrictal tubercles posteroventral to tympanum; a prominent fold extends from posterolateral corner of upper eyelid posteriorly onto anterior flank where it is deflected ventrally as an interrupted series of large warts. Choanae well lateral on roof of mouth, separated by distance equal to 8-9 times diameter of a choana, not concealed by palatal shelf of maxillary arch; vomerine odontophores of adult females massive, lying between and posterior to choanae, broad, each bearing a transverse row of 9-14 teeth, separated medially by space less than a choanal diameter; in two juvenile females (KU 115213, 115216) there are 6-9 vomerine teeth per odontophore and the odontophores are separated by a distance equalling the width of an odontophore; tongue slightly longer than wide, its posterior border not notched, posterior 12 not adherent to floor of mouth. Skin of head smooth except for eyelid tubercles, temporal folds, and pair of low postocular folds which converge (but do not touch) just posterior to scapular region and then diverge, becoming inperceptible at about level of sacrum; posterior to sacrum, especially laterally, are isolated, relatively large, subconical warts; just anterior to vent, skin of dorsum bears numerous minute warts; flanks bearing pungent tubercles, becoming smaller, more closely packed, and flatter toward lower flanks; throat and venter smooth except for encroaching tubercles from lower flanks; discoidal folds absent; anal opening not modified, no enlarged para-anal warts; skin on undersides of limbs smooth except for undersides of thighs below and ventrolateral to vent (coarsely areolate). Upper surface of forearm bearing longitudinal fold reaching to wrist; ulnar edge of forearm with a more prominent fold, feebly crenelate; palmar tubercle flat, slightly longer than wide, not bifid; thenar tubercle flat, oval; supernumerary palmar tubercles indistinct except for two lying between palmar tubercle and basal subarticular tubercle of finger IV; subarticular tubercles not pungent, that on I longer than wide, others round or slightly wider than long; no lateral keels on fingers; finger tips pointed, weakly This content downloaded from 157.55.39.208 on Fri, 14 Oct 2016 04:27:37 UTC All use subject to http://about.jstor.org/terms VOLUME 83, NUMBER 3 103 i:o-:o ' . +,e, '!'. .j ): !i i . I /,I~i ie",1980,Transactions of the Kansas Academy of Science
Clinical Pharmacogenetic Models of Treatment Response to Methotrexate Monotherapy in Slovenian and Serbian Rheumatoid Arthritis Patients: Differences in Patient's Management May Preclude Generalization of the Models,"Objectives: Methotrexate (MTX) is the first line treatment for rheumatoid arthritis (RA), but nevertheless 30% of patients experience MTX inefficacy. Our aim was to develop a clinical pharmacogenetic model to predict which RA patients will not respond to MTX monotherapy. We also assessed whether this model can be generalized to other populations by validating it on a group of Serbian RA patients. Methods: In 110 RA Slovenian patients, data on clinical factors and 34 polymorphisms in MTX pathway were analyzed by Least Absolute Shrinkage and Selection Operator (LASSO) penalized regression to select variables associated with the disease activity as measured by Disease Activity Score (DAS28) score after 6 months of MTX monotherapy. A clinical pharmacogenetic index was constructed from penalized regression coefficients with absolute value above 0.05. This index was cross-validated and also independently validated on 133 Serbian RA patients. Results: A clinical pharmacogenetic index for prediction of DAS28 after 6 months of MTX monotherapy in Slovenian RA patients consisted of DAS28 score at diagnosis, presence of erosions, MTX dose, Solute Carrier Family 19 Member 1 (SLC19A1) rs1051266, Solute Carrier Organic Anion Transporter Family Member 1B1 (SLCO1B1) rs2306283, Thymidylate Synthase (TYMS), and Adenosine Monophosphate Deaminase 1 (AMPD1) rs17602729. It correctly classified 69% of Slovenian patients as responders or nonresponders and explained 30% of variability in DAS28 after 6 months of MTX monotherapy. Testing for validity in another population showed that it classified correctly only 22.5% of Serbian RA patients. Conclusions: We developed a clinical pharmacogenetic model for DAS28 after 6 months of MTX monotherapy in Slovenian RA patients by combining clinical and genetic variables. The clinical pharmacogenetic index developed for Slovenian patients did not perform well on Serbian patients, presumably due to the differences in patients' characteristics and clinical management between the two groups.",2018,Frontiers in Pharmacology
Genotype-immunophenotype analysis reveals the immunogenomic subtype and prognosis of multiple myeloma.,"Immune dysfunction plays an important role in tumour development, recurrence, therapeutic responses and overall survival. Multiple myeloma (MM) is a clonal B-cell malignancy which characterized by antitumoural immune dysfunction. In this study, we analyzed 28 tumour-immune-related pathways and calculated the immune pathway score through published microarray data from the Gene Expression Omnibus (GEO) data portal. A training set of 345 patients and a validation set of 214 patients with primary MM were chosen. We performed least absolute shrinkage and selection operator (LASSO) analysis to identify prognostic factors. Then we used cluster analysis to divide patients into three immunogenomic subtypes, which named abnormal immune activated type, common type and anti-myeloma immune activated type. Logâ€‘rank tests showed that anti-myeloma immune activated type had the best prognosis and abnormal immune activated type had the shortest overall survival (OS) (P=0.000) and event-free survival (EFS) (P=0.000). Multivariate Cox also indicated that the immunogenomic subtype was an independent predictor of OS (P=0.001) and EFS (P=0.000). We also analyzed the characteristics and the immune-response patterns of different subtypes. Then, we established a mathematical model to classify patients in the validation set. In the validation set, patients with different immunogenomic subtypes also had a significantly different OS (P=0.001) and EFS (P=0.005). Our study explored tumour-immune-related pathways at a multi-dimensional level and found the immunogenomic subtype of MM. Potential mechanisms on the genetic level of how tumour-immunity influences the prognosis and therapeutic responses are provided. The immunogenomic subtype may be feasible for deciding clinical treatment in the future.",2020,Carcinogenesis
Regularization Paths for Generalized Linear Models via Coordinate Descent.,"We develop fast algorithms for estimation of generalized linear models with convex penalties. The models include linear regression, two-class logistic regression, and multinomial regression problems while the penalties include â„“(1) (the lasso), â„“(2) (ridge regression) and mixtures of the two (the elastic net). The algorithms use cyclical coordinate descent, computed along a regularization path. The methods can handle large problems and can also deal efficiently with sparse features. In comparative timings we find that the new algorithms are considerably faster than competing methods.",2010,Journal of statistical software
