title,abstract,year,journal
Molecular Epidemiology of High-Risk Human Papilloma Virus Infection in Sexually Active Women at Bobo-Dioulasso University Teaching Hospital,"The objective of this study was to determine the prevalence of HPV-HR genotypes 
in the population of sexually active women in Bobo-Dioulasso, Burkina Faso. Methods: This study took place at Souro Sanou Teaching Hospital in Bobo-Dioulasso 
from September to June 2017. A total of 234 women in the gynecological period 
and also sexually active were enrolled after they gave an individual consent. 
Swabbing of the endocervical canal was done. From the sample stored at -20Â°C, 
the viral DNA was extracted using the â€œDNA-Sorb-Aâ€ kit from SACACE 
biotechnologiesÂ®. Amplification of the PCR of the extracted DNA was made, using 
the â€œHPV Genotypes 14 Real-TM Quantâ€ V67-100 FRT kit. Data were analyzed with 
SPSS software version 17.0 and Epi Info 6. Chi-square and Fisherâ€™s tests were 
used to compare proportions and averages; a link was significant when p 0.05. Results: The mean age was 30.7 Â± 7.3 years (median: 30 years); 84.5% of them were 
married, 43.5% had a socio-professional activity and 61% were schooled. A total of 20.6% of women 
were positive for at least one of the following HPV-HR genotypes: HPV 18, 31, 
35, 39, 45, 51, 52, 56, 58, 59, 66, and 68. Genotypes the most frequently found 
were HPV 52 with 11 cases (17.2%) and 66 with 10 cases (15.6%). Conclusion: Our results show a predominance of HPV-HR genotypes 
not covered by available vaccines. Mapping genotypes are needed to fully understand viral ecology at the national level. But for 
instance, the nonavalent vaccine, which has a better coverage of the predominant 
genotypes, is to be promoted.",2019,Open Journal of Obstetrics and Gynecology
Assessing Performance of Kerman Province`s Hospitals Using Pabon Lasso Diagram between 2008 and 2010,"Background: A method of performance assessment is required to improve Productivity and reduce hospital costs . Pabon Lasso diagram is known as a tool for performance assessment. The current study is aimed to assess and compare Kerman province`s hospitals performance by using Pabon Lasso diagram. Materials & Methods: This descriptive and cross-sectional study was conducted retrospectively between 2008 and 2010. All hospitals of Kerman province in three groups of public, social security and private were selected by census method (N=23). The data were gathered from statistics unit and entered into SPSS 18.0. Three indicators include bed occupancy rate, bed turnover and average of length of stay were calculated and then hospitals` performance were analyzed by Pabon Lasso diagram. Results: In first two years, seven and eight hospitals out of twenty-three and in third year nine hospitals out of twenty-two located in third zone of the model (desired productivity) respectively. Among all hospitals, regarding number and ownership type, social security hospitals had better performance in 2008. Additionally Public hospitals had better performance than others in 2009 and 2010,. Conclusion: Public hospitals had better performance.Although studied hospitals` performance experienced growing trend, only one third of the them had desired performance. It can be caused by changing the provided services type from inpatient to outpatient services.It seems that Considering type of ownership and assessing past trend of 3 studied indicators concurrently is necessary for Planning for development of a broader range of inpatient services and diversified medical services based on province`s need.",2014,Journal of Hospital
AdaPtive Noisy Data Augmentation for Regularized Estimation of Undirected Graphical Models,"We propose an AdaPtive Noise Augmentation (PANDA) technique to regularize the estimation and construction of undirected graphical models. PANDA iteratively optimizes the objective function given the noise augmented data until convergence to achieve regularization on model parameters. The augmented noises can be designed to achieve various regularization effects on graph estimation, such as the bridge (including lasso and ridge), elastic net, adaptive lasso, and SCAD penalization; it also realizes the group lasso and fused ridge. We examine the tail bound of the noise-augmented loss function and establish that the noiseaugmented loss function and its minimizer converge almost surely to the expected penalized loss function and its minimizer, respectively. We derive the asymptotic distributions for the regularized parameters through PANDA in generalized linear models, based on which, inferences for the parameters can be obtained simultaneously with variable selection. We show the non-inferior performance of PANDA in constructing graphs of different types in simulation studies and apply PANDA to an autism spectrum disorder data to construct a mixed-node graph. We also show that the inferences based on the asymptotic distribution of regularized parameter estimates via PANDA achieve nominal or near-nominal coverage and are far more efficient, compared to some existing post-selection procedures. Computationally, PANDA can be easily programmed in software that implements (GLMs) without resorting to complicated optimization techniques. keywords: adjacency matrix, augmented Fisher information, generalized linear model (GLM), maximum a posterior estimation, sparsity, inference âˆ—Corresponding author email: fang.liu.131@nd.edu 1 ar X iv :1 81 0. 04 85 1v 2 [ st at .M L ] 2 1 M ay 2 01 9",2019,
Stability of growth in strength and motor performance from childhood to adolescence.,"THERE is widespread belief that boys and girls who are stronger and more proficient than their peers in physical skills in childhood will retain this superiority in the years to come. Evidence in support of this is at best meager. In fact, only limited study has been made of the predictability of growth in muscular strength and motor performance during the growing years. The few investigations in which strength measurements have been taken on the same children over a period of several years have shown only moderately high between-year correlations. For example, Baldwin (1920) found correlations of .65 for boys and .45 for girls between grip strength at 9 and 10 years of age and grip strength taken again six years later on the same children. Similarly, Tuddenham and Snyder (1954) reported between-year correlations, age 9 to 18 years, of .63 for boys and .57 for girls, for a composite strength score (sum of right and left grip, pull and thrust). Only a few reports have been published on the stability of growth in gross motor skills over extended periods of time. Using longitudinal data, Glassowand Kruse (1960) reported between year correlations (grade 1 to grade 6) of 7.02 for the 30-yard dash and .739 for the standing broad jump. Espenschade (1940) found that between year correlations (age 13 to age 16) on such events as the 50-yard dash, the standing broad jump, jump and reach, throw for distance, Brace test, and target throw ranged from .29 in the dash to .66 in the Brace test for boys and from .36 in the target throw to .84 in the distance throw for girls. On the basis of the limited data available, one might hypothesize that higher order responses such as complex motor skills are more susceptible to varying environmental influences than muscular strength and hence correlations over time are likely to be lower for the former than for the latter. The present investigation was designed to examine the stability of growth in dynamometric muscular strength and motor performance",1967,Human Biology
Treatment of impacted cuspids. The hazard lasso.,Abstract A clinical report illustrating hazards of the long-used lasso technique that is now being replaced by bonding and other less invasive methods for accelerating and guiding the eruption of impacted cuspids.,1981,The Angle orthodontist
Nomogram-based prediction of rebleeding in small bowel bleeding patients: the â€˜PRSBBâ€™ score,"Small bowel capsule endoscopy (SBCE) and balloon-assisted endoscopy (BAE) have revolutionized the diagnosis and treatment of small bowel bleeding (SBB), allowing access to the small bowel and identification of specific bleeding lesions. However, some patients experience rebleeding after small bowel investigation, and there are no definitive algorithms for determining the most appropriate follow-up strategy in SBB patients. We developed and validated a nomogram that can predict rebleeding risk and be used to develop a risk-stratified follow-up strategy in SBB patients. A retrospective study was performed using data from 401 SBB patients who underwent SBCE at Nagoya University Hospital. We developed and internally validated a predictive model for rebleeding in the form of a nomogram using Cox regression models and a bootstrap resampling procedure. Optimal risk factors were selected according to the least absolute shrinkage and selection operator (LASSO). The LASSO method identified 8 independent predictors of rebleeding that could be assessed to obtain a â€˜predicting rebleeding in SBBâ€™, or â€˜PRSBBâ€™ score: age, sex, SBB type, transfusion requirement, cardiovascular disease, liver cirrhosis, SBCE findings, and treatment. The c-statistic for the predictive model was 0.681. In conclusion, our PRSBB score can help clinicians devise appropriate follow-up plans.",2018,Scientific Reports
Predictive Modelling of Home Appliances Energy Consumption in Belgium,"The increasing trend in energy consumption is becoming cause of concern for the entire world, as the energy consumption is increasing year after year so is the carbon and greenhouse gas emission, the majority portion of the electricity generated is consumed by industrial sector but a considerable amount is also consumed by residential sector. It is important to study the energy consuming behaviour in the residential sector and predict the energy consumption by home appliances as it consume maximum amount of energy in the residence. The European energy goal of 2020 is to reduce the energy consumption and carbon emission by 20%. This project focuses on predicting the energy consumption of home appliances based on humidity and temperature. It has resulted in implementation of five prediction regression models, i.e. multiple regression, lasso regression, ridge regression, SVM regression and Random Forest are developed and results are presented based on RMSE, MAE and MAPE, the dataset for the analysis was taken from a house located in Stambruges (Belgium), keeping European goal of 2020 in mind. In addition the results of reviewed literature of home energy consumption in Europe is also presented.",2018,
Efficient Regularized Regression with L 0 Penalty for Variable Selection and Network Construction,"Variable selections for regression with high-dimensional big data have found many applications in bioinformatics and computational biology. One appealing approach is the L0 regularized regression which penalizes the number of nonzero features in the model directly. However, it is well known that L0 optimization is NP-hard and computationally challenging. In this paper, we propose efficient EM (L0EM) and dual L0EM (DL0EM) algorithms that directly approximate the L0 optimization problem. While L0EM is efficient with large sample size, DL0EM is efficient with high-dimensional (n â‰ª m) data. They also provide a natural solution to all Lp â€‰â€‰p âˆˆ [0,2] problems, including lasso with p = 1 and elastic net with p âˆˆ [1,2]. The regularized parameter Î» can be determined through cross validation or AIC and BIC. We demonstrate our methods through simulation and high-dimensional genomic data. The results indicate that L0 has better performance than lasso, SCAD, and MC+, and L0 with AIC or BIC has similar performance as computationally intensive cross validation. The proposed algorithms are efficient in identifying the nonzero variables with less bias and constructing biologically important networks with high-dimensional big data.",2016,Computational and Mathematical Methods in Medicine
"Annual Report 3 January 31 , 2013","The problem of estimating high-dimensional network models arises naturally in the analysis of many biological and socio-economic systems. In this work, we aim to learn a network structure from temporal panel data, employing the framework of Granger causal models under the assumptions of sparsity of its edges and inherent grouping structure among its nodes. To that end, we introduce a group lasso regression regularization framework, and also examine a thresholded variant to address the issue of group misspecification. Further, the norm consistency and variable selection consistency of the estimates is established, the latter under the novel concept of direction consistency. The performance of the proposed methodology is assessed through an extensive set of simulation studies and comparisons with existing techniques. The study is illustrated on two motivating examples coming from functional genomics and financial econometrics.",2013,
A Review of the Fossil Record of Turtles of the Clade Thalassochelydia,"Abstract 
 The Late Jurassic (Oxfordian to Tithonian) fossil record of Europe and South America has yielded a particularly rich assemblage of aquatic pan-cryptodiran turtles that are herein tentatively hypothesized to form a monophyletic group named Thalassochelydia. Thalassochelydians were traditionally referred to three families, Eurysternidae, Plesiochelyidae, and Thalassemydidae, but the current understanding of phylogenetic relationships is insufficient to support the monophyly of either group. Given their pervasive usage in the literature, however, these three names are herein retained informally. Relationships with marine turtles from the Cretaceous have been suggested in the past, but these hypotheses still lack strong character support. Thalassochelydians are universally found in near-shore marine sediments and show adaptations to aquatic habitats, but isotopic evidence hints at a broad spectrum of specializations ranging from freshwater aquatic to fully marine. A taxonomic review of the group concludes that of 68 named taxa, 27 are nomina valida, 18 are nomina invalida, 18 are nomina dubia, and 5 nomina oblita.",2017,Bulletin of the Peabody Museum of Natural History
