title,abstract,year,journal
Grietas en las bibliotecas azules. La relaciÃ³n entre Lasso de la Vega y Miguel Artigas durante la Guerra Civil EspaÃ±ola (1936-1939),"El presente articulo analiza un episodio poco conocido de la politica bibliotecaria del bando sublevado durante la Guerra Civil, que muestra las desavenencias y recelos suscitados entre Miguel Artigas y Javier Lasso de la Vega, dos de sus mas significados representantes, en tres vertientes: los servicios de lecturas dirigidas a los soldados, la pugna por alcanzar puestos de responsabilidad en la administracion del Nuevo Estado franquista, y la posibilidad de implantar el modelo de encabezamientos anglosajon",2018,MÃ©todos de InformaciÃ³n
Frontiers in Time Series and Financial Econometrics: An overview â˜†,"Two of the fastest growing frontiers in econometrics and quantitative finance are time series and financial econometrics. Significant theoretical contributions to financial econometrics have been made by experts in statistics, econometrics, mathematics, and time series analysis. The purpose of this special issue of the journal on â€œFrontiers in Time Series and Financial Econometricsâ€ is to highlight several areas of research by leading academics in which novel methods have contributed significantly to time series and financial econometrics, including forecasting co-volatilities via factor models with asymmetry and long memory in realized covariance, prediction of Levy-driven CARMA processes, functional index coefficient models with variable selection, LASSO estimation of threshold autoregressive models, high dimensional stochastic regression with latent factors, endogeneity and nonlinearity, sign-based portmanteau test for ARCH-type models with heavy-tailed innovations, toward optimal model averaging in regression models with time series errors, high dimensional dynamic stochastic copula models, a misspecification test for multiplicative error models of non-negative time series processes, sample quantile analysis for long-memory stochastic volatility models, testing for independence between functional time series, statistical inference for panel dynamic simultaneous equations models, specification tests of calibrated option pricing models, asymptotic inference in multiple-threshold double autoregressive models, a new hyperbolic GARCH model, intraday value-at-risk: an asymmetric autoregressive conditional duration approach, refinements in maximum likelihood inference on spatial autocorrelation in panel data, statistical inference of conditional quantiles in nonlinear time series models, quasi-likelihood estimation of a threshold diffusion process, threshold models in time series analysis - some reflections, and generalized ARMA models with martingale difference errors.",2015,Journal of Econometrics
"Palynological Investigation of the Albian to Lower Cenomanian Bima Formation, Bornu Basin, Nigeria","2 Abstract: The palynology of Bima Formation covering interval of 2900m to 3620m was studied with the view of determining the age and paleoenvironment of deposition of the sediments. The sequence (3620m-2900m) belongs to Afropollis jardinus assemblage zone characterised by co-occurrence of Afropollis jardinus, Classopollis brasiliensis, Forma PO 304 Lawal, Cretacaeiporites mulleri, Monosulcites sp. and Triorites africaensis. Other flora that that are stratigraphically important present in the interval include Elaterosporites klazii, Cretacaeiporite polygonalis, C. Mulleri, Galeacornea clavis, Liliacidites peroreticulatus, Hexaporotricolpites emelianovi and Ephedripites multicostatus. The Bima Formation is here dated Albian to Lower Cenomanian age based on the co-occurrence of these miospores. The paleoenvironment of deposition was deduced to vary with the lithologic facies. Also the basal unit is continental in nature and contains paucity of palynomorphs; the marginal marine system is characterized by diagnostic assemblage of dinoflagellate cysts such as Senegalinium bicavatum, Senegalinium sp, Batiacasphaera sp. and microforaminiferal wall lining while the upper sequence is devoid of organic wall microplankton.",2011,
On Fractional Deviation Operators,"The so called fractionaldeviationoperatorsare introduced. This classof integral transforms appears naturally from the study of iteration of frac-tional integrals of Riemann-Liouville type. Since B. RossÂ’formulation onfractional iteration process, among other problems selected by T. Osler [5]toward1974, severalauthors have been workingonthis subject. Inparticular,are worth mentioning contributions of B. Rubin [7] that allowed an intrin-sicconnection betweenfractional integrals withdifferentlimits ofintegration(LoveÂ’squestion, see[5]also) andthecorresponding RossÂ’problem forChenfractional integrals, handled by A. Nahushev [4] and M. Salahitdinov, withbroad applications to non local boundary value problems. In this article weconsider deviationoperatorsasintegral transforms,their connection with op-eratorsofRubin type and mapping properties between classical andweightedLebesgue spaces.",1997,
Weighted Consensus Clustering,"Consensus clustering has emerged as an important extension of the classical clustering problem. We propose weighted consensus clustering, where each input clustering is weighted and the weights are determined in such a way that the final consensus clustering provides a better quality solution, in which clusters are better separated comparing to standard consensus clustering. Theoretically, we show that a reformulation of the wellknown L1 regularization LASSO problem is equivalent to the weight optimization of our weighted consensus clustering, and thus our approach provides sparse solutions which may resolve the difficult situation when the input clusterings diverge significantly. We also show that the weighted consensus clustering resolves the redundancy problem when many input clusterings correlate highly. Detailed algorithms are given. Experiments are carried out to demonstrate the effectiveness of the weighted consensus clustering.",2008,
"TREVOR HASTIE, ROBERT TIBSHIRANI, AND MARTIN WAINWRIGHT. Statistical Learning with Sparsity: The Lasso and Generalizations. Boca Raton: CRC Press","Regularization has played a major role in statistics ever since the new era of data generation has reached its foothold. During this period analyzed data sets started having many more features than observations, which made standard statistical methods inconvenient. Perhaps the most widely used and well-known regularization method today is the â€œLeast Absolute Selection and Shrinkage Operator,â€ better known simply as the Lasso. This method was originally introduced by Robert Tibshirani in 1996 and further popularized as part of the highly accessed book â€œThe Elements of Statistical Learningâ€ in 2001, written by some of the same authors as the book described here. It is therefore needless to say that the authors of â€œStatistical Learning with Sparsityâ€ comprise valued experts on this topic. With their most recent book, the authors aim to provide a broad overview on classical concepts of regularization in statistics as well as the newest trends in this direction. In our opinion, the book succeeds in providing a comprehensive guideline on this topic that is well-suited for teachers as well as students, more precise reasons will be given at the end of the review. The book starts off with a general introduction to the field that describes the idea behind sparsity in modeling. The concepts are demonstrated nicely with two real-world examples that illustrate the results from applying a regularized model. The first chapter of a book is important as it often decides whether one continues interest in the book, or drops it and shops for something else. In this case, the attention of the reader is immediately captured, and even enhanced, by the well-chosen examples. The book then goes on to introduce regularization in generalized linear models in the following two chapters, where standard classical works are reviewed. What immediately jumps to attention is the completeness of discussion of single topics. Equations are not only provided and discussed, they are complemented by examples that",2018,
Identifying Influential Factors to Residential Vacancy in Seoul Based on a Geographically Weighted Lasso Model,"Recently, the number of vacant houses is increasing in large cities in Korea. In order to reduce vacant houses, it needs to figure out the distribution of vacant houses and identify the influential factors on it. We identified the factors influencing residential vacancy in Seoul by considering variables regarding regional deterioration and urban redevelopment. In addition, we used a Geographically Weighted Lasso model to select the spatial heterogeneous influential factors and reduce multicollinearity. As a result, based on â€˜the approval level of the management disposal planâ€™, there were the negative correlations with the vacancy occurrence at the previous stages and the positive correlations with the vacancy occurrence at the later stages. The rate of shutout report and the net migration are positively correlated with vacancy occurrence, while the variation in floating population is negatively correlated with it. Our studyÂ can provide meaningful information for the planning for vacant house management.",2018,
"International Conference on Vehicle Safety 2000, 7-9 June 2000, IMechE HQ, London, UK","Structures, crashworthiness, and compatibility: compatibility - the essential requirements for cars in frontal impact, M.J. Edwards et al load-cell barrier measurements of geometric compatibility, K.H. Diggers, A.M. Eigen vehicle compatibility analysis using casualty data, M. Les et al an optimisation methodology for improving car-to-car compatibility, A.W.J. Gielen et al crash compatibility of passenger cars achievable, but how? H. Appel, T. Deter. Pedestrian protection: development of a pedestrian model for reviewing the EEVC WG10 upper legform test energies, M. Neale, C. Oakkley a numerical analysis of the car front end module regarding pedestrian lower limb safety, E. Glasson et al an approach to improve vehicle-front design for pedestrian protection using mathematical models, J. Yang comparison of pedestrian accident reconstruction models to experimental test data for wrap trajectories, T.F. Fugger et al effect of pedestrian protection on styling and engineering of vehicles, B. Shah et al pedestrian protection potential of a polymeric sandwich bonnet, S.J. Westwood et al. Regulations and consumer information: road safety in less motorised countries - relevance of international vehicle and highway safety standards, D. Mohan, G. Tiwari review of the frontal and side impact directives, M.J. Edwards et al biofidelity of dummy legs for use in legislative car crash testing, L.K. Wheeler et al. Crashes, injury, and biomechanics: the statistical accuracy of delta-V in systematic field accident studies, J. Lenard et al accidents involving heavy goods vehicle, 1994 to 1996, I. Knight emergency steering in fatal and serious injury, sport utility vehicle rollover crashes, I.S. Jones et al accident research with regard to crashworthiness and crash avoidance, R. Zobel et al a practical model for prediction of spinal kinematics and injury, A.B. Sampson et al injury as a function of change of velocity - an alternative method to derive risk functions, M. Krafft et al. (Part contents).",2000,
"Age Discrimination at Texas Roadhouse, Inc","The Texas Roadhouse Experience Texas Roadhouse's YouTube videos offered great exposure for the restaurant chain, but they also illustrated a potentially ominous legal threat. One video showed an attractive young woman as she circled her hand above her head as she and her coworkers strutted and turned to the strains of ""Save a Horse, Ride a Cowboy."" ""Now lasso four times as you turn to face the wall ..."" YouTube viewers wanting to learn the popular line dance were practicing at home, so they could join the dancing the next time they went to their Texas Roadhouse restaurant. But not all YouTube viewers saw the Roadhouse in the same positive light. Some viewed a video of P. David Lopez, General Counsel of the U. S. Equal Employment Opportunity Commission (EEOC), which announced that a nationwide lawsuit had been filed against Texas Roadhouse for ""a pattern or practice of age discrimination in hiring hourly, front of the house employees"" at the chain's casual dining restaurants. Mentioning the increase in age discrimination claims filed with the agency since 2007, Lopez explained the legal action, ""It's important in this difficult economic climate that we redouble our nation's commitment to the principle of nondiscrimination in the workplace, to ensure that hiring decisions are based on abilities, not age"" (EEOC, 2011). The Texas Roadhouse website described the chain as family restaurants with ""legendary food, legendary service, and legendary good times"" Although specializing in hand-cut steaks, ribs, home-baked bread, and large portions, its appeal was definitely enhanced by the line dances every hour led by the servers and other front of the house ""team members."" This boisterous entertainment distinguished the Roadhouse restaurants from their larger competitors like Lone Star and Outback, and made the ""Roadies"" an essential part of the restaurant's success. Roadies were expected to be energetic, and to have a ""passion for fun."" National line dancing competitions for Roadhouse local dance teams were held annually, with many local teams creating their own dances. In 2007, as job markets tightened across the country, applications for entry-level jobs at restaurants increased from older, unemployed people who might not have considered such low-paying jobs before the downturn. The EEOC reported a rise in age-discrimination complaints, and a number of these cases charged the Texas Roadhouse with discriminating in its hiring practices for front of the house employees. ""Front of the house"" referred to the servers, bartenders, greeters, and other publicly visible employees in restaurants. These positions were traditionally jobs held by the young. Many of these jobs were part-time and evening jobs requiring little experience and were well-suited to college students or those not yet focused on a career. History of the Texas Roadhouse Chain W. Kent Taylor founded Texas Roadhouse in Indiana in 1993. After a few lean years, Taylor attracted some additional capital, developed a successful business model that included the line-dancing Roadies, and Texas Roadhouse expanded rapidly. Taylor decided to expand into smaller secondary markets, thus avoiding direct competition with Outback restaurants, a major competitor. Markets were selected that had a high blue-collar population. As one investor told Chain Leader magazine, Roadhouse was ""a redneck Outback"" (Farkas, 2003). By 2012, the corporation had over 300 restaurants, and had expanded globally with the first Roadhouse in Dubai. The decor of the restaurants was Southwestern with Native American murals on the walls and buckets of peanuts at every table. In 2002, country singer Willie Nelson became the official spokesman for the chain, and a ""Willie's Corner"" selling the singer's merchandise was in every restaurant. Nelson's outlaw image became an important part of the Roadhouse aura. In a video commercial, CEO Kent Taylor spoofed the television show Undercover Boss by arriving at a Roadhouse in cowboy hat with long Willie Nelson braids and bandana. â€¦",2014,Journal of Critical Incidents
Primal-Dual Rates and Certificates,"We propose an algorithm-independent framework to equip existing optimization methods with primal-dual certificates. Such certificates and corresponding rate of convergence guarantees are important for practitioners to diagnose progress, in particular in machine learning applications. We obtain new primal-dual convergence rates, e.g., for the Lasso as well as many L1, Elastic Net, group Lasso and TV-regularized problems. The theory applies to any norm-regularized generalized linear model. Our approach provides efficiently computable duality gaps which are globally defined, without modifying the original problems in the region of interest.",2016,
