title,abstract,year,journal
An Empirical-Bayes Approach to Recovering Linearly Constrained Non-Negative Sparse Signals,"We propose two novel approaches for the recovery of an (approximately) sparse signal from noisy linear measurements in the case that the signal is a priori known to be non-negative and obey given linear equality constraints, such as a simplex signal. This problem arises in, e.g., hyperspectral imaging, portfolio optimization, density estimation, and certain cases of compressive imaging. Our first approach solves a linearly constrained non-negative version of LASSO using the max-sum version of the generalized approximate message passing (GAMP) algorithm, where we consider both quadratic and absolute loss, and where we propose a novel approach to tuning the LASSO regularization parameter via the expectation maximization (EM) algorithm. Our second approach is based on the sum-product version of the GAMP algorithm, where we propose the use of a Bernoulli non-negative Gaussian-mixture signal prior and a Laplacian likelihood and propose an EM-based approach to learning the underlying statistical parameters. In both approaches, the linear equality constraints are enforced by augmenting GAMP's generalized-linear observation model with noiseless pseudo-measurements. Extensive numerical experiments demonstrate the state-of-the-art performance of our proposed approaches.",2014,IEEE Trans. Signal Process.
Sparse Extended Redundancy Analysis: Variable Selection via the Exclusive LASSO.,"Extended Redundancy Analysis is a statistical tool for exploring the directional relationships of multiple sets of exogenous variables on a set of endogenous variables. This approach posits that the endogenous and exogenous variables are related via latent components, each of which is extracted from a set of exogenous variables, that account for the maximum variation of the endogenous variables. However, it is often difficult to distinguish between the true variables that form the latent components and the false variables that do not, especially when the association between the true variables and the exogenous set is weak. To overcome this limitation, we propose a Sparse Extended Redundancy Analysis via the Exclusive LASSO that performs variable selection while maintaining model specification. We validate the performance of the proposed approach in a simulation study. Finally, the empirical utility of this approach is demonstrated through two examples-one on a study of youth academic achievement and the other on a text analysis of newspaper data.",2019,Multivariate behavioral research
"Peloids and pelotherapy: Historical evolution, classification and glossary","Abstract Targets, concepts, principles, methods, historical evolution, interactions with other sciences, systems, and implications on society are common fundamentals to any science or scientific field. With regard to concepts they can be expressed differently by people from different educational backgrounds and experiences, but preserving the fundamental ideas. Concepts can also evolve over times. This paper shows the changes undergone by the concept of peloid since the creation of this term and meaning in 1933, and the arguments that justified those changes. Also, the systems or classifications of peloids have evolved since the first classification proposed in 1937. This paper shows the classifications which have been proposed since then and the fundamentals on which they were based upon. Also a new, short and concise definition and classification of peloids are proposed. Relevant inconsistencies are found in the scientific literature regarding both nomenclature and definition of terms used in health resort medicine or spa therapy, skin care, balneology, balneotherapy, hydrotherapy, mud therapy, pelotherapy, thalassotherapy, climatology, and climatotherapy. Even the international general acceptance of these methods and terms is not fully recognized. A glossary with the terms and corresponding technical definitions does not exist. A glossary in English, the idiom worldwide used for science communication, prepared by an ad hoc Working Group constituted by the authors of the present paper is herewith proposed.",2013,Applied Clay Science
Typsichere Modellierung im Text-Mining,"class SensevalData (s: String ) extends Agent [String , Context ] { val file = new File(s) val trainDataReader = new STAXSensevalDataReader (file); val samples : List[ Ambiguity ] = trainDataReader . getAmbiguities . toList val words : java.util.List[ String ] = trainDataReader . getWords def process ( input : java.util.List[ Annotation [ String ]]) = samples .map( asAnnotation (_)) def asAnnotation (amb: Ambiguity ): Anno[ Context ] = { Annotations . create [ Context ]( classOf [ SensevalData ], amb. getContext :Context , amb. getContext . targetStart :Int , amb. getContext . targetEnd :Int) } override def toString = file. toURL . toString } SensevalSense Agent fur Zugriff auf Zielworte der Daten (in Scala, Agent[Context, Ambiguity]): class SensevalSense (s: String ) extends Agent [Context , Ambiguity ] { val words : List[ String ] = Nil 66 Eine Definition des Text-Mining von http://en.wikipedia.org/wiki/Text_mining",2011,
Relationship between Stress Ethylene Production Induced by Gamma Irradiation and Ripening of Cherry Tomatoes DÃ©partement de Physiologic,"Changes in ACC metabolism induced by gamma irradiation have been studied during ripening of cherry tomatoes (Lycopersicon esculentum L. CV. Sweet 100) treated at the mature-green stage. Irradiation caused a sharp and transient dose-dependent increase in ethylene production during the first 24 hours that was associated with an increase in ACC synthase activity. The activity of ethylene-forming enzyme (EFE) was also stimulated but was never limiting. Nine days following irradiation, ACC metabolism was more active in irradiated fruits, with ACC being mainly directed to ethylene [80% at 3 kilogray (kGy; 1 Gray = 100 Rad = 1 JÂ·kg-)] rather than to malonyl ACC (MACC). As a consequence, fruit ripening was accelerated. For doses <1 kGy, the time required for 50% of the fruits to reach breaker stage (the onset of climacteric ethylene production) was inversely correlated with radiation dose and the amount of stress ethylene produced during the first 24 hours. At doses >1 kGy, in spite of a continuous stimulation of stress ethylene production, no additional acceleration of ripening occurred. At 3to 5-kGv doses. fruit ripening was impaired transiently with a fast subsequent recovery. As a result a significant synchronization of fruit . . ,.. â€”-ripening (presumed to be caused by enhanced ethylene production) was observed. Chemical, names used: l-aminocyclopropane-1-carboxylic acid (ACC). Climacteric fruits submitted to gamma irradiation exhibit either a delay of ripening (Akamine and Moy, 1983; Urbain; 1986; Thomas, 1988) or an advance (Maxie et al.,. 1966), depending on the fruit species and the developmental stage at which the treatment is applied. In the specific case of tomatoes, irradiation generally delays ripening when the treatment is applied at the preclimacteric stage (Abdel-Kader et al., 1968; Lee et al., 1968; Thomas, 1988), while it can cause an advance when it is applied earlier (Lee et al., 1968). These differential responses may be ascribed to the dual effects of gamma rays: i) impairment of cellular functions and therefore of ripening, with possible recovery (McGlasson and Lee, 1971; Romani et al., 1968); and ii) stimulation of the synthesis of ethylene (Abdel-Kader et al., 1968), which is known to stimulate fruit ripening (Brady, 1987; McGlasson, 1985). In a previous study, we have demonstrated that gamma irradiation strongly and rapidly activated ACC synthesis at the post-transcriptional level, in breaker cherry tomatoes (Larrigaudiere et al., 1990). The present work was undertaken to determine whether the stress ethylene being produced immediately after the treatment could play a role in the onset and advancement of ripening of preclimacteric fruits. The effects of various doses of gamma irradiation on the stimulation of ACC metabolism (ethylene production, ACC and MACC levels, ACC synthase, and EFE activities) on mature-green cherry tomatoes were investigated on a shortand long-term basis. or publication 30 Nov. 1990. This work was supported by the MinRecherche et de la Technologies (grant 86 60454), and was part of A coordinated Food Irradiation Programme for the Middle East and ountries. The cost of publishing this paper was defrayed in part by t of page charges. Under postal regulations, this paper therefore reby marked advertisement solely to indicate this fact. nt de Physiologie VÃ©gÃ©tale et EcosystÃ¨mes, Section Ionisation des CEN de Cadarache, 13108 St Paul lez Durance Cedex, France. on ale SupÃ©rieure Agronomique, 145 avenue de Muret, 31076 Touex, France. Materials and Methods Plant material and irradiation treatment. â€˜Sweet 101â€™ cherry tomato plants (Fl from INRA, France) were grown in a greenhouse (25/18C, day/night) and fruits were harvested at the mature-green stage. They were then selected according to their chromametric value and their ethylene production according to Guclu et al. (1989) with the modifications described below. Fruit color was determined on the calycinal face of the fruit, using a chromameter (CR 200, Minolta, Japan), by measurement of the â€˜aâ€™ value in the L, a, b system. Previous analysis and correlations with ethylene production, taken as a marker of ripening, have shown that the â€˜aâ€™ value was sufficient to characterize maturity stages; a = â€“ 10, immature; a = 8.0, mature-green; â€“ 6.0 < a < â€“2, breaker; a = 14.0, orange stage. Preclimacteric tomato fruits were selected at a fully mature-green stage (a = â€“ 8.0 Â± 0.5). Irradiation treatment was carried out with a 60Co irradiator [Oris, France 30000 Ci (1 Ci = 37 GBq]). All experiments were conducted at 20C at a dose rate of 110 GyÂ·min -1. Irradiated and control fruits were held in a controlled-temperature room at 20C at 80â€™% relative humidity. Determination of the onset of ripening. An individual fruit was considered as having reached the onset of ripening, or breaker stage, when the â€˜aâ€™ was higher than â€“ 6 and the ethylene production rate >0.15 nmoÂ·g -lÂ· .h -1. The days to 50% ripening corresponded to the time required for half of the fruits (30 fruits total) to reach the breaker stage. Ethylene production. Each of the 30 fruits was placed in a 100-ml flask that was sealed with a serum cap. A l-ml gas sample was withdrawn after 1 h incubation and analyzed by a gas chromatography using an activated alumina column and a flame ionization detector. Determination of ACC and MACC. ACC and MACC were Abbreviations: EFE, ethylene-forming enzyme. J. Amer. Soc. Hort. Sci. 116(6):1000-1003. 1991. Fig. 1. Short-term evolution of C 2H 4 product ion (A), ACC levels (B), and ACC synthase activity (C)in mature-green cherry tomatoes exposed to O (control, O) or 3 kGy of irradiation (A). Fruits were kept at 20C and 80% RH. For ethylene production (A), values represent means Â±SD of 30 fruits. Other results are mean Â±SD of six and three replicates for ACC levels (B) and ACC synthase activity (C), respectively. Vertical bars represent SD; when omitted, SD is lower than symbol size. analyzed on the same crude extract that was prepared for ACC synthase assay. The ACC analysis was carried out on six fruits by oxidative conversion into ethylene (Lizada and Yang, 1979). For the determination of MACC, the sample was first passed through a Dowex 50-W (H+, 100-200 mesh) column to remove free ACC. MACC in the eluate was then hydrolyzed into ACC and quantified (Liu et al., 1985b). Enzyme extractions and assays. ACC synthase extraction and activity determination were carried out according to Acaster and Kende (1983) with slight modifications as described by Larrigaudiere et al. (1990). EFE activity was determined in the whole fruit by measuring the conversion of vacuum-infiltrated ACC to ethylene in the presence of cycloheximide (Larrigaudiere et al., 1990). All enzyme activities were determined on three separate f r u i t s .",1997,
Least tern (Sterna antillarum),"of Concern Least Tern is a broadly distributed species of coastal flats and river sandbars. It has lost nesting habitat and declined in numbers throughout its range. The interior subspecies of Least Tern (Sterna antillarum athalassos) is listed by the U.S. Fish and Wildlife Service (1985) as endangered, except within 80 km of the coast. The New Mexico Department of Game and Fish (1988) listed the Interior Least Tern as endangered in New Mexico in 1976. A single breeding colony exists in New Mexico, at Bitter Lake NWR.",1997,The Birds of North America Online
The ternary complex factor protein ELK1 is an independent prognosticator of disease recurrence in prostate cancer.,"BACKGROUND
Both hormone-sensitive and castration- and enzalutamide-resistant prostate cancers (PCa) depend on the ternary complex factor (TCF) protein ELK1 to serve as a tethering protein for the androgen receptor (AR) to activate a critical set of growth genes. The two sites in ELK1 required for AR binding are conserved in other members of the TCF subfamily, ELK3 and ELK4. Here we examine the potential utility of the three proteins as prognosticators of disease recurrence in PCa.


METHODS
Transcriptional activity assays; Retrospective analysis of PCa recurrence using data on 501 patients in The Cancer Genome Atlas (TCGA) database; Unpaired Wilcoxon rank-sum test and multiple comparison correction using the Holm's method; Spearman's correlations; Kaplan-Meier methods; Univariable and multivariable Cox regression analyses; LASSO-based penalized Cox regression models; Time-dependent area under the receiver operating characteristic (ROC) curve.


RESULTS
ELK4 but not ELK3 was coactivated by AR similar to ELK1. Tumor expression of neither ELK3 nor ELK4 was associated with disease-free survival (DFS). ELK1 was associated with higher clinical T-stage, pathology T-stage, Gleason score, prognostic grade, and positive lymph node status. ELK1 was a negative prognosticator of DFS, independent of ELK3, ELK4, clinical T-stage, pathology T-stage, prognostic grade, lymph node status, age, and race. Inclusion of ELK1 increased the abilities of the Oncotype DX and Prolaris gene panels to predict disease recurrence, correctly predicting disease recurrence in a unique subset of patients.


CONCLUSIONS
ELK1 is a strong, independent prognosticator of disease recurrence in PCa, underscoring its unique role in PCa growth. Inclusion of ELK1 may enhance the utility of currently used prognosticators for clinical decision making in prostate cancer.",2019,The Prostate
"Medizinisches, insbesondere zahnmedizinisches behandlungsinstrument zur abgabe eines abrasiven strÃ¶mungsmediums","Die Erfindung betrifft ein medizinisches, insbesondere zahnmedizinisches Behandlungsinstrument, welches zur Abgabe eines abrasiven Stromungsmediums ausgebildet ist. Das Behandlungsinstrument umfasst ein Handstuck, einen an dem Handstuck angeordneten Vorratsbehalter (1) fur ein abrasives Behandlungsmittel, eine Zufuhrleitung (2) fur Druckluft, welche in den Vorratsbehalter (1) mundet und eine sich von dem Vorratsbehalter (1) zu einer Auslassoffnung fur das abrasive Stromungsmedium erstreckende Ableitung (4). Dabei sind in einem Endbereich der Zufuhrleitung (2) Luftlenkmittel (6) angeordnet, welche dazu ausgebildet sind, im Wesentlichen unabhangig von der Ausrichtung des Handstucks die Druckluft in einem unteren Bereich des Vorratsbehalters (1) in diesen abzugeben. Auf diese Weise lasst sich bewirken, dass die Druckluft im Laufe einer Behandlung besonders lange in engem bzw. quasi direktem Kontakt mit dem Behandlungsmittel steht und somit das Behandlungsmittel besonders lange effektiv aufgewirbelt wird. In der Folge lasst sich erzielen, dass die mit dem Behandlungsinstrument erzielbare Abtragleistung uber einen besonders langen Zeitraum in engen Grenzen konstant bleibt.",2016,
Quantitative metabolomics reveals HFmrEF as a distinct phenotype of heart failure,"Abstract Background Heart Failure with middle-range ejection fraction (HFmrEF) has been recently acknowledged as a separate phenotype but metabolomics evaluation of this subtype remains largely untouched. Methods A quantitative metabolomics study on amino acids and acylcarnitines was performed to characterize different states of HF in 628 participants. Both multivariate orthogonal partial least squares- discriminant analysis and univariate Mann-Whitney U test were used to explore reliable metabolic profiles associated with different HF states. The resulting metabolites were further refined for obtaining diagnostic metabolite score (DMS) with ordinal logistic regression. Lasso-penalized regression was applied to produce a survival-associated prognostic metabolite score (PMS). The Cox proportional hazards model, Kaplan-Meier curve, and time-dependent ROC were used for a comprehensive assessment of prognostic value using PMS versus traditional clinical biomarkers. Results The optimized models identified a panel of fifteen differential metabolites that are shared across different HF states while some metabolites are associated with a specific state. PMS consisting of nine metabolites demonstrated an appreciably better prognostic value (hazard ratio, HR 1.62 [1.25-2.1] 95% CI, p Conclusions Targeted metabolomics has provided a novel understanding of the molecular mechanism underlying HF. Both DMS and PMS clearly demonstrated HFmrEF as a distinct phenotype between a mild HFpEF state and a severe HFrEF state. PMS exhibited superior prognostic value than Ln(NT-proBNP). Further investigation is needed with independent large-scale validation.",2020,Canadian Journal of Cardiology
A Risk Model for Prediction of 1-Year Mortality in Patients Undergoing MitraClip Implantation.,"There is a lack of specific tools for risk stratification in patients who undergo MitraClip implantation. We aimed at combining preprocedural variables with prognostic impact into a specific risk model for the prediction of 1-year mortality in patients undergoing MitraClip implantation. A total of 311 consecutive patients who underwent MitraClip implantation were included. A lasso-penalized Cox-proportional hazard regression model was used to identify independent predictors of 1-year all-cause mortality. A nomogram (GRASP [Getting Reduction of mitrAl inSufficiency by Percutaneous clip implantation] nomogram) was obtained from the Cox model. Validation was performed using internal bootstrap resampling. Forty-two deaths occurred at 1-year follow-up. The Kaplan-Meier estimate of 1-year survival was 0.845 (95% confidence interval, 0.802 to 0.895). Four independent predictors of mortality (mean arterial blood pressure, hemoglobin natural log-transformed pro-brain natriuretic peptide levels, New York Heart Association class IV at presentation) were identified. At internal bootstrap resampling validation, the GRASP nomogram had good discrimination (area under receiver operating characteristic curve of 0.78, Somers' Dxy statistic of 0.53) and calibration (le Cessie-van Houwelingen-Copas-Hosmer p value of 0.780). Conversely, the discriminative ability of the EuroSCORE II (the European System for Cardiac Operative Risk Evaluation II) and the STS-PROM (the Society of Thoracic Surgeons Predicted Risk of Mortality score) was fairly modest with area under the curve values of 0.61 and 0.55, respectively. A treatment-specific risk model in patients who undergo MitraClip implantation may be useful for the stratification of mortality at 1Â year. Further studies are needed to provide external validation and support the generalizability ofÂ the GRASP nomogram.",2017,The American journal of cardiology
