title,abstract,year,journal
Wavelet Reconstruction of Nonuniformly Sampled Signals,"For the reconstruction of a nonuniformly sampled signal based on its noisy observations, we propose a level dependent l1 penalized wavelet reconstruction method. The LARS/Lasso algorithm is applied to solve the Lasso problem. The data adaptive choice of the regularization parameters is based on the AIC and the degrees of freedom is estimated by the number of nonzero elements in the Lasso solution. Simulation results conducted on some commonly used 1_D test signals illustrate that the proposed method possesses good empirical properties.",2009,IEEE Signal Processing Letters
å¤šä»»åŠ¡Sparse Group Lassoç‰¹å¾æå–ä¸Žæ”¯æŒå‘é‡æœºå›žå½’åœ¨æ’æ˜Ÿå¤§æ°”ç‰©ç†å‚é‡ä¼°è®¡ä¸­çš„åº”ç”¨,"The multi-task learning puts the multiple tasks together to analyse and calculate for discovering the correlation between them, which can improve the accuracy of analysis results. This kind of methods have been widely studied in machine learning, pattern recognition, computer vision, and other related fields. This paper investigates the application of multi-task learning in estimating the effective temperature ( T eff ), surface gravity (lg g ), and chemical abundance ([Fe/H]). Firstly, the spectral characteristics of the three atmospheric physical parameters are extracted by using the multi-task Sparse Group Lasso algorithm, and then the support vector machine is used to estimate the atmospheric physical parameters. The proposed scheme is evaluated on both Sloan stellar spectra and theoretical spectra computed from Kurucz's New Opacity Distribution Function (NEWODF) model. The mean absolute errors (MAEs) on the Sloan spectra are:0.0064 for lg ( T eff /K), 0.1622 for lg( g /(cmÂ·s -2 )), and 0.1221 dex for[Fe/H]; The MAEs on synthetic spectra are 0.0006 for lg ( T eff /K), 0.0098 for lg( g /(cmÂ·s -2 )), and 0.0082 dex for[Fe/H]. Experimental results show that the proposed scheme is excellent for atmospheric parameter estimation.",2016,
Alaskan flatfishes on the German market: part 1: identification by DNA and protein analytical methods,"North Pacific flatfishes are gaining increased popularity on the German market. Isoelectric focusing of sarcoplasmic proteins and PCR-based DNA analysis were applied to identify fillets of nine Alaskan Flatfish species: Artheresthes stomias (Arrow-tooth flounder), Limanda aspera (Yellowfin sole), Isopsetta isolepis (Butter sole), Lepidopsetta bilineata (Southern rock sole), Lepidopsetta polyxystra (Northern rock sole), Hippoglossus stenolepis (Pacific halibut), Hippoglossoides elassodon (Flathead sole), Platichthys stellatus (Starry flounder), and Glyptocephalus zachirus (Rex sole). Characteristic protein patterns were obtained for raw fillets of several species. Reactivity of flatfish DNA against five pairs of primers was tested, amplifying segments of the mitochondrial cytochrome b, cytochrome oxidase subunit I, 16S rRNA gene, as well as the nuclear parvalbumin gene. Amplicons of the cytochrome b gene were sequenced and used for single-strand conformation polymorphism analysis. The survey of deep-frozen commercial yellowfin sole fillets resulted in the detection of 17% of the fillets being mislabelled; Northern rock sole, butter sole and flathead sole had been used as substitutes.",2011,European Food Research and Technology
Effective Screening and Joint Modeling for High-Throughput Genomic Data Analysis.,"RHYNE, JACOB DAVIS. Effective Screening and Joint Modeling for High-Throughput Genomic Data Analysis. (Under the direction of Dr. X. Jessie Jeng). When analyzing genetic data, many current modeling methods are computationally infeasible, due to the size of the data. This dissertation explores two possible solutions to this problem: screening to reduce the number of predictors or making modeling methods more computationally efficient. The first chapter introduces key background information and gives an overview of key developments in relevant statistical methodology. The second chapter presents a screening methodâ€“where SNP ranking and screening is based on the Higher Criticism (HC) statisticâ€“to be performed prior to joint modeling of the expression of genes and SNPs. It is shown that the HC-based SNP screening can greatly reduce the computational burden of joint modeling and improve the power for eQTL mapping. The third chapter considers a well-known joint modeling method, LORS, which is computationally infeasible for large data. An alternative method is proposed to solve the LORS optimization problem with less computational time required. The proposed method and LORS are applied to data from the International HapMap Project to illustrate the performance of each. The fourth chapter presents a new joint modeling procedure which extends the debiased lasso (DLasso) to a multivariate response. This method addresses a weakness of LORS in that statistical inference can be performed after joint modeling. It is shown that the proposed procedure can effectively control false discoveries and identify a large proportion of true signals. Â© Copyright 2019 by Jacob Davis Rhyne",2019,
Liquid electrolyte informatics using an exhaustive search with linear regression.,"Exploring new liquid electrolyte materials is a fundamental target for developing new high-performance lithium-ion batteries. In contrast to solid materials, disordered liquid solution properties have been less studied by data-driven information techniques. Here, we examined the estimation accuracy and efficiency of three information techniques, multiple linear regression (MLR), least absolute shrinkage and selection operator (LASSO), and exhaustive search with linear regression (ES-LiR), by using coordination energy and melting point as test liquid properties. We then confirmed that ES-LiR gives the most accurate estimation among the techniques. We also found that ES-LiR can provide the relationship between the ""prediction accuracy"" and ""calculation cost"" of the properties via a weight diagram of descriptors. This technique makes it possible to choose the balance of the ""accuracy"" and ""cost"" when the search of a huge amount of new materials was carried out.",2018,Physical chemistry chemical physics : PCCP
Reconstruction of the Facial Nerve in Pigs with Facial Nerve Allografts Wrapped in a Fibrin Scaffold Containing Fibroblasts Transduced with Adenovirus Encoding VEGF 156,"*Corresponding author: JosÃ© M Lasso, Plastic Surgery, Hospital General Universitario Gregorio MaraÃ±Ã³n, Ãrea 3400, C/ Dr Esquerdo 46, 28007 Madrid, Spain, E-mail: josemaria.lasso@salud.madrid.org Citation: Lasso JM (2015) Reconstruction of the Facial Nerve in Pigs with Facial Nerve Allografts Wrapped in A Fibrin Scaffold Containing Fibroblasts Transduced with Adenovirus Encoding VEGF 156. Enliven: Surg Transplant 1(1): 009. Copyright: @ 2015 Dr. Jose M Lasso. This is an Open Access article published and distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution and reproduction in any medium, provided the original author and source are credited. Received Date: 9th June 2015 Accepted Date: 22nd June 2015 Published Date: 27th June 2015 Research Article Enliven: Surgery and Transplantation ISSN: 2379-5719",2015,
Synthesis for Polynomial Lasso Programs,"We present a method for the synthesis of polynomial lasso programs. These programs consist of a program stem, a set of transitions, and an exit condition, all in the form of algebraic assertions conjunctions of polynomial equalities. Central to this approach is the discovery of non-linear algebraic loop invariants. We extend Sankaranarayanan, Sipma, and Manna's template-based approach and prove a completeness criterion. We perform program synthesis by generating a constraint whose solution is a synthesized program together with a loop invariant that proves the program's correctness. This constraint is non-linear and is passed to an SMT solver. Moreover, we can enforce the termination of the synthesized program with the support of test cases.",2014,
Variability in the trophic role of coral reef fish larvae in the oceanic plankton,"The transport of larval coral reef fishes to juvenile habitat inherently requires that they survive the planktonic journey; however, the processes governing survival â€” particularly those related to feeding â€” are not well known. Monthly sampling across the Straits of Florida allowed for analyses of the diets and diet variability of several co-occurring taxa of coral reef fish larvae from the families Serranidae, Lutjanidae, Mullidae, Pomacentridae, Labridae, Scaridae and Acanthuridae. The proportions of larvae with food present in the gut were high (0.94 to 1.0) for all taxa except scarids (0.04), and diets were generally narrow and predator-specific. Serranus spp. (Serranidae) diets changed little with growth and were composed almost entirely of calanoid copepods, while the labrids Thalassoma bifasciatum and Xyrichtys spp. consumed harpacticoid and cyclopoid (Farranula and Oncaea) copepods almost exclusively throughout ontogeny. Lutjanine and acanthurid larvae relied increasingly upon appendicularians with growth, and mullids exhibited an ontogenetic shift from nauplii to calanoid copepodites and appendicularians. Cluster analysis examining diet similar- ity among taxa yielded clear groupings: small acanthurids, labrids, appendicularian-feeders, and a fourth group consisting of subgroups of larvae with calanoid and mixed diets. Within larval taxa, canonical correspondence analysis indicated how diet varied with several environmental and larva- specific variables. The trophic niche breadth of 4 taxa decreased significantly with growth, while other taxa exhibited no significant change. These results highlight distinct differences between high- and low-latitude regions, most notably the taxon-specific trophic roles and the apparent niche parti- tioning of larval fishes within the diverse planktonic food webs of lower latitudes.",2009,Marine Ecology Progress Series
L'experience lasso,"L'experience lasso: laser synchronisation from stationary orbit est une procedure de transfert de temps entre des horloges au sol utilisant un lien laser avec un oscillateur ultra-stable embarque a bord d'un satellite geostationnaire. L'objet de cette these est de faire un bilan complet de cette experience, de sa proposition aux experiences futures qui en decoulent, en passant par l'analyse detaillee des observations. Cette experience a pour but de montrer la faisabilite d'un transfert de temps intercontinental a mieux que la nanoseconde (10#-#9s). Un tel transfert de temps a pu etre realise grace a l'introduction de nouveaux concepts: le suivi de l'horloge du satellite de facon independante a partir de chaque station, et l'utilisation de toute l'information disponible dans les donnees. Durant 1992 et 1993, deux stations ont participe a cette experience: le mlrs (texas) et le cerga (grasse). Le traitement et l'analyse de ces donnees ont montre que lasso permet d'etudier le comportement d'une horloge embarquee sur un satellite avec une precision meilleure que 100 ps (10#-#1#0s), et que la precision du transfert de temps via lasso est meilleure que 100 picosecondes. Il y a donc un gain d'un facteur 5 a 10 par rapport aux techniques de transfert de temps actuelles (gps, two-way). L'exactitude, actuellement de l'ordre de 1. 5 ns, pourra etre amelioree par un meilleur etalonnage des stations. Pour l'avenir, une experience de type lasso est envisageable avec une precision d'une dizaine de picosecondes, ce qui presente un grand interet dans le domaine de la metrologie du temps pour l'etude d'horloges ultra-stables en orbite, l'etalonnage de techniques de transfert de temps. Cela ouvre egalement la voie a des experiences de physique fondamentale dans le systeme solaire",1994,
The REMEDIA-Life project and the cultivation of macroalgae as bioremediators: exploitation of their biomass for biotechnological purposes,"1Istituto di Ricerca sulle Acqueâ€“ S.S. Talassografico di Taranto â€“ CNR, Via Roma, 374123 Taranto (Italy) 2 DiSTeBA, UniversitÃ  del Salento, Via Prov.le Lecce-Monteroni â€“ 73100 Lecce (Italy) 3Istituto di Scienze delle Produzioni Alimentari, U.O.S. di Lecce, via Prov.le Lecce-Monteroni, Lecce, Italy;",2019,
