title,abstract,year,journal
Development and validation of a 10â€gene prognostic signature for acute myeloid leukaemia,"Acute myeloid leukaemia (AML) is the most common type of adult acute leukaemia and has a poor prognosis. Thus, optimal risk stratification is of greatest importance for reasonable choice of treatment and prognostic evaluation. For our study, a total of 1707 samples of AML patients from three public databases were divided into meta-training, meta-testing and validation sets. The meta-training set was used to build risk prediction model, and the other four data sets were employed for validation. By log-rank test and univariate COX regression analysis as well as LASSO-COX, AML patients were divided into high-risk and low-risk groups based on AML risk score (AMLRS) which was constituted by 10 survival-related genes. In meta-training, meta-testing and validation sets, the patient in the low-risk group all had a significantly longer OS (overall survival) than those in the high-risk group (PÂ <Â .001), and the area under ROC curve (AUC) by time-dependent ROC was 0.5854-0.7905 for 1Â year, 0.6652-0.8066 for 3Â years and 0.6622-0.8034 for 5Â years. Multivariate COX regression analysis indicated that AMLRS was an independent prognostic factor in four data sets. Nomogram combining the AMLRS and two clinical parameters performed well in predicting 1-year, 3-year and 5-year OS. Finally, we created a web-based prognostic model to predict the prognosis of AML patients (https://tcgi.shinyapps.io/amlrs_nomogram/).",2020,Journal of Cellular and Molecular Medicine
From shipwreck to constellation: Rethinking Meillassoux on MallarmÃ© from a semiotic perspective,"Abstract This essay assesses Quentin Meillassouxâ€™s numerological approach to MallarmÃ©â€™s problematic but formally innovative poem â€œUn Coup de dÃ©s,â€ using a semiotic methodology to reveal the deficiencies of that approach from the viewpoint of literary theory. Section 1 describes my expanded version of Michael Riffaterreâ€™s semiotic theory of the structure of modern poetry. Poems are generated by two underlying propositions, each of which governs the structure of a set of symbolic images on the textual surface. These â€œmatricialâ€ propositions are linked by a syntagmatic relation. The primary text functions as subject-sign of the Peircean semiotic triad; its object-sign is an intertextual model. The interpretant of these two textual signs is assembled by the reader and has a sociolectic counterpart â€“ or context â€“ which has similar lexical content but contrasting internal structure. This contrast may produce a change in the preconceptions of the reader. Section 2 examines Meillassouxâ€™s approach to MallarmÃ©â€™s poem, which is preoccupied with a â€œnumberâ€ supposedly encrypted in the text. This is not convincingly related to the propositional structure of the poem. In Section 3, the text is interpreted using a semiotics-based methodology. The poem is generated by two matrices: one concerning the â€œMasterâ€ versus the storm, and the second concerning the power of Chance. The relation linking the matrices is clarified. This analysis is compared with that of Meillassoux throughout. Section 4 resumes the differences between Meillassouxâ€™s concentration on the â€œnumberâ€ and the â€œsiren,â€ and my analysis which centres on the relation between the Master (symbolising traditional poets and their preferred metre) and the Constellation (symbolising the wide range of new future poetic metres and formats). Meillassouxâ€™s approach turns out to be unconvincing.",2019,Semiotica
On the accuracy of alternative approaches for calibrating bank stress test models,"Multi-year forecasts of bank performance under stressful economic conditions determine large institution regulatory capital requirements and yet the accuracy of these forecasts is undocumented. I compare the accuracies of alternative stress test model forecasts using the financial crisis as the stress scenario. Models include specifications that mimic the Federal Reserve CLASS model and alternatives that use Lasso, the AIC and an abridged set of explanatory variables. A simple single-equation Lasso model has, by far, the best forecast accuracy. Large differences in model forecast accuracy are undetectable from estimation sample statistics. These findings highlight the need for new methods for validating bank stress test models.",2018,Journal of Financial Stability
"Hierarchia Catholica medii et recentioris aevi, sive, Summorum Pontificum, S.R.E. Cardinalium, Ecclesiarum Antistium series, e documentis tabularii praesertim Vaticani collecta, digesta, edita, Volume IX: A Pontificatu Pii PP.X (1903) usque ad Pontificatum Benedicti PP.XV (1922) (review)","The eleven papers in part two of the book focus on the procedures and practices of Italian authorities, both civil and ecclesiastical, confronted with alleged sexual misconduct. Ermanno Orlandoâ€™s engaging study of mock marriage cases in Padua and Venice is followed by Emlyn Eisenachâ€™s analysis of concubinage cases among elite families at Verona from the sixteenth century. Laura Turchi provides a detailed study of the testimony in a dramatic adultery case at Correggio,while Daniela Lombardi compares the treatment of seduction in church courts with that in civil courts, and Sara Luperini examines the differing ways in which ecclesiastical and civil authorities handled concubinage in Pisa and its hinterland. Three further papers in this section concern bigamy cases adjudicated respectively at Naples (Pierroberto Scaramella), the Holy Office (Kim SiebenhÃ¼ner), and among the Jews of Livorno (Cristina Galasso). The three remaining papers deal respectively with parochial and civil registration of marriages (Silvana Seidel Menchi) and two eighteenth-century prosecutions for seduction at Florence (Alessandra Contini and Georgia Arrivo).",2006,The Catholic Historical Review
C onstraining the energy-m om entum dispersion relation w ith Planck-scale sensitivity using cold atom s,"W e use the results of ultra-precise cold-atom -recoil experim ents to constrain the form of the energy-m om entum dispersion relation, a structure that is expected to be m odi ed in several quantum -gravity approaches. O urstrategy ofanalysisappliesto the nonrelativistic (sm allspeeds) lim itofthedispersion relation,and isthereforecom plem entary to an analogousongoing e ortofinvestigation ofthedispersion relation in theultrarelativisticregim eusingobservationsin astrophysics. Forthe leading correction in the nonrelativistic lim itthe exceptionalsensitivity ofcold-atom -recoil experim ents rem arkably allows us to set a lim it within a single order ofm agnitude ofthe desired Planck-scalelevel,thereby providing the rstexam pleofPlanck-scalesensitivity in thestudy ofthe dispersion relation in controlled laboratory experim ents. Forthe next-to-leading term we obtain a lim itwhich isa few ordersofm agnitude away from the Planck scale,butstillam ountsto the best lim iton a classofLorentz-sym m etry testtheoriesthathasbeen extensively used to investigate the hypothesisof\deform ation"" (ratherthan breakdown)ofspacetim e sym m etries.",2013,
"Comment on â€œPreparation, molecular structure, vibrational and photoluminescence study of a novel compound based chlorocadmate (II) materialâ€ by Lassoued et al. J. Mol. Struct. 1165 (2018) 42â€“50","Abstract Recently, Lassoued etÂ al. reported preparation and characterization of a hybrid compound, (C6H10N2)2Cd3Cl10 [1]. Unfortunately, some of the data as presented by the authors are in strong conflict with the explanation.",2019,Journal of Molecular Structure
InfomobilitÃ  a difesa dellâ€™ambiente,"Proviamo a vedere le cose alla maniera di Keanu Reeves â€“ o, meglio, dellâ€™alieno Klaatu â€“ nel recente film di fantascienza â€œUltimatum alla Terraâ€. Sebbene la pellicola sia un remake del celebre film omonimo del 1951, la nuova versione restituisce una visione della Terra ormai morente e vicina al collasso, a causa del disastro ambientale in atto.",2008,
"Seguiment, gestiÃ³ i execuciÃ³ del centre turÃ­stic i thalassoterÃ pia ""Hotel RA Beach Talasso Spa""","Aquest Projecte Final de Grau descriu com sÂ´ha dut a terme la construccio dÂ´un 
Centre Turistic i Thalassoterapia al Vendrell â€œHOTEL RA BEACH TALASSO SPAâ€ 5*GL, 
situat a primera linia de mar en el que era lÂ´antic Sanatori Sant Joan de Deu, i en el qual he 
participat activament com a Adjunt al Gerent de la Promocio i responsable de lÂ´execucio, 
formant part de la empresa promotora Amrey S.L. durant quasi tres anys, amb el seu inici a 
principis del 2001 i fins la seva finalitzacio, entrega i seguiment de repassos, tant dels 
apartaments com del hotel, a finals del 2003. 
He fet aquest PFG per la singularitat i la complexitat del projecte en el ambit catala 
dÂ´aquell moment, a mes de la gran aportacio que ha significat per el meu desenvolupament 
professional, visquen ben dÂ´aprop les funcions realitzades per un Gerent de la Promocio en 
una construccio dÂ´aquestes magnituds, on dia a dia es van prenen decisions que fan 
possible anar variant els camins per arribar a aconseguir els objectius del projecte, donantme 
conte que quasi sempre, per molt que planifiquis una promocio, el dia es dia en la presa 
de decisions es essencial per arribar als objectius marcats. 
El nombros equip pluridisplinar que hi ha hagut durant el projecte i el treball continuat 
i coordinat dels diferents agents intervinents ha sigut una experiencia enriquidora per a mi, 
doncs aquest treball en equip es el que mÂ´ha proporcionat una visio de lÂ´exercici de la 
professio mes obert i globalitzat, on he pogut viure la importancia que te la bona gestio dels 
diferents agents intervinents en el projecte, a mes dÂ´aprendre a desenvolupar les habilitats 
humanes necessaries per crear una sinergia del projecte que faci anar en el mateix cami, i 
on el objectiu sigui comu per a tots, aquesta es una assignatura que no sÂ´apren quan fas la 
carrera i que en el dia a dia es molt important per desenvolupar la professio. 
Per ultim comenta que en aquest PFG es fa una presentacio del projecte i els agents 
que i intervenen aixi com els diferents treballs que vaig anar desenvolupant com a Adjunt al 
Gerent durant tot el proces constructiu, Ademes es fa un seguiment fotografic dels principals 
processos constructius que es van realitzar i que donada la gran varietat de elements i usos 
del edificis fan que es pogui veure un gran ventall de treballs realitzats (rehabilitacio integral, 
edificacio nova construccio, us hoteler, us centre Thalassoterapia , us centre convencions, 
us apartaments, etc..).",2010,
Medium Effects and Nuclear Transport Theory,"It is commonly believed nowadays that an acceptable nuclear transport theory for heavy ion collisions in a very broad energy range (from a few MeV/u to several GeV/u) should include a correct description of : (1) mean field effects ; (2) two-body collisions ; (3) particle production. A complete theory embodying these features does not exist yet. However, considerable progress has been made in the recent years. On the theoretical side, it was recognized that the Landau-Vlassov equation phenomenologically introduced by Landau for Fermi fluids, had many attributes of a good nuclear theory (for a review, see Ref. 1), despite the fact that it appears as a truncation2 of the BBGKY hierarchy of the density matrices3, which is the exact theory in anonrelativistic approach with potential forces. On the practical side, a variety of models (BUU, VUU, QMD, quasi-particle methods,â€¦) aiming at the solution of the Landau-Vlassov equation, give more and more satisfactory descriptions of the experimental data (for a review, see Ref. 4). The appealing feature of the Landau-Vlassov theory is the presence in the mean field term of physical quantities directly related to the equation of state. Therefore it is a priori a suitable tool to investigate the nuclear matter equation of state at several times normal nuclear matter density.",1989,
The seagrass and associated macroalgal vegetation of Gazi Bay (Kenya),"The seagrass and macroalgal vegetation of Gazi Bay (at approximately 50 km south of Mombasa) have been studied by means of 88 relevÃ©s along 7 transects. Correlation between the distribution of the seagrasses and some abiotic factors (particle size fractions, chemical composition of the substrate) is not well marked. Nevertheless a general zonation and succession of seagrasses could be established:1.A transition zone between the mangal and the seagrass beds is covered byBoodleopsis pusilla;2.the pioneer associationHalophila ovalis +Halodule wrightii forms low sandy bumps at the upper limit of the seagrass beds, but also occurs in the whole midlittoral where sandlayers have recently been accumulated (e.g. on coral platforms);3.the climax vegetation of the intertidal zone seems to beThalassia hemprichii which sometimes is associated withCymodocea rotundata andC. serrulata, certainly in deeper pools and close to low water mark;Halimeda opuntia,Gracilaria salicornia andG. corticata are also frequent in this vegetation type;4.from low water at neap tide downwards patches of monospecificEnhalus acoroides vegetation can also occur;5.from mean low water down to approximately âˆ’1 m mixed meadows ofThalassia, C. serrulata, C rotundata andHalodule uninervis are well developed; the seaweedsHalimeda macrooloba andAvrainvillea obscura are also typical for this zone; locally patches ofSyringodium isoetifolium grow on small bumps andHalophila stipulacea grows as a pioneer on bare sand;6.from âˆ’1 m downwards the whole lagoon is covered by homogeneous, monospecificThalassodendron ciliatum meadows, locally replaced byE. acoroides.",2004,Hydrobiologia
Resampling-based tests for Lasso in genome-wide association studies,"BackgroundGenome-wide association studies involve detecting association between millions of genetic variants and a trait, which typically use univariate regression to test association between each single variant and the phenotype. Alternatively, Lasso penalized regression allows one to jointly model the relationship between all genetic variants and the phenotype. However, it is unclear how to best conduct inference on the individual Lasso coefficients, especially in high-dimensional settings.MethodsWe consider six methods for testing the Lasso coefficients: two permutation (Lasso-Ayers, Lasso-PL) and one analytic approach (Lasso-AL) to select the penalty parameter for type-1-error control, residual bootstrap (Lasso-RB), modified residual bootstrap (Lasso-MRB), and a permutation test (Lasso-PT). Methods are compared via simulations and application to the Minnesota Center for Twins and Family Study.ResultsWe show that for finite sample sizes with increasing number of null predictors, Lasso-RB, Lasso-MRB, and Lasso-PT fail to be viable methods of inference. However, Lasso-PL and Lasso-AL remain fast and powerful tools for conducting inference with the Lasso, even in high-dimensions.ConclusionOur results suggest that the proposed permutation selection procedure (Lasso-PL) and the analytic selection method (Lasso-AL) are fast and powerful alternatives to the standard univariate analysis in genome-wide association studies.",2017,BMC Genetics
