title,abstract,year,journal
Identifying prognostic intratumor heterogeneity using pre- and post-radiotherapy 18F-FDG PET images for pancreatic cancer patients.,"BACKGROUND
To stratify risks of pancreatic adenocarcinoma (PA) patients using pre- and post-radiotherapy (RT) PET/CT images, and to assess the prognostic value of texture variations in predicting therapy response of patients.


METHODS
Twenty-six PA patients treated with RT from 2011-2013 with pre- and post-treatment 18F-FDG-PET/CT scans were identified. Tumor locoregional texture was calculated using 3D kernel-based approach, and texture variations were identified by fitting discrepancies of texture maps of pre- and post-treatment images. A total of 48 texture and clinical variables were identified and evaluated for association with overall survival (OS). The prognostic heterogeneity features were selected using lasso/elastic net regression, and further were evaluated by multivariate Cox analysis.


RESULTS
Median age was 69 y (range, 46-86 y). The texture map and temporal variations between pre- and post-treatment were well characterized by histograms and statistical fitting. The lasso analysis identified seven predictors (age, node stage, post-RT SUVmax, variations of homogeneity, variance, sum mean, and cluster tendency). The multivariate Cox analysis identified five significant variables: age, node stage, variations of homogeneity, variance, and cluster tendency (with P=0.020, 0.040, 0.065, 0.078, and 0.081, respectively). The patients were stratified into two groups based on the risk score of multivariate analysis with log-rank P=0.001: a low risk group (n=11) with a longer mean OS (29.3 months) and higher texture variation (>30%), and a high risk group (n=15) with a shorter mean OS (17.7 months) and lower texture variation (<15%).


CONCLUSIONS
Locoregional metabolic texture response provides a feasible approach for evaluating and predicting clinical outcomes following treatment of PA with RT. The proposed method can be used to stratify patient risk and help select appropriate treatment strategies for individual patients toward implementing response-driven adaptive RT.",2017,Journal of gastrointestinal oncology
Feature Selection for Neural Networks Using Group Lasso Regularization,"We propose an embedded/integrated feature selection method based on neural networks with Group Lasso penalty. Group Lasso regularization is considered to produce sparsity on the inputs to the network, i.e., for selection of useful features. Lasso based feature selection using a multi-layer perceptron usually requires an additional set of weights, while our Group Lasso formulation does not require that. However, Group Lasso penalty is non-differentiable at the origin. This may lead to oscillations in numerical simulations and make it difficult to analyze theoretically. To address this issue, four smoothing Group Lasso penalties are introduced. A rigorous proof for the convergence of the proposed algorithm is presented under suitable assumptions. To verify the effectiveness, a three-step algorithmic architecture is adopted in implementation. Experimental results on several datasets validate the theoretical results and demonstrate the competitive performance of the proposed method.",2020,IEEE Transactions on Knowledge and Data Engineering
Roman trade relationships at Sagalassos (Turkey) elucidated by ancient DNA of fish remains,"The excavations of Roman and Early Byzantine contexts at the town of Sagalassos (Turkey) yielded fish remains belonging to species that do not occur near the site. The modern geographical distribution of the identified fish indicates trade with various regions of Anatolia, the Mediterranean coast, Egypt and/or the Levant. Trade with Levant and Egypt is evident throughout the period by the presence of Clarias, a catfish living amongst others in the Nile and Levant. Mitochondrial DNA analysis was successfully carried out on modern populations of this species from Turkey, Syria, Israel and Egypt. Several variable regions were discovered on the mitochondrial control region containing polymorphisms that distinguish the haplotypes. Primer sets were designed to amplify small fragments of ancient DNA containing these informative regions. Ancient fish DNA could be successfully extracted, amplified and sequenced. The analyses indicate that the catfish bones belong to Clarias gariepinus and that they originated from the lower Nile. In addition, this study sheds light on the understanding of the modern distribution of C. gariepinus in Anatolia.",2003,Journal of Archaeological Science
[Predictive mortality factors and the development of major complications in non-traumatic subarachnoid hemorrhage].,"Our aim was to analyze death prognostic factors in the first six months or the development of major neurological complications (delayed brain ischaemia and rebleeding) or general complications (cardiorespiratory, hydroelectrolytic or infectious) in non-traumatic subarachnoid haemorrhage. We carried out an observational study of a historical cohort of 111 patients admitted consecutively to our Centre between 1986 and 1992 and who were diagnosed as having subarachnoid haemorrhage based upon clinical data and confirmed in all cases by brain computerized tomography (CT) scan and/or lumbar puncture. Clinical variables upon admission were collected prospectively and radiological data were obtained retrospectively. We performed a logistic regression analysis which showed as significant predictive variables for death in the first six months a score on the Hunt-Hess scale greater than 2, a score on the Glassow scale of less than 9, female, aged over 50 and rebleeding. As predictive factors for delayed brain ischaemia we identified the female sex and the existence of earlier general complications. In the development of rebleeding a significant predictive factor was high blood pressure antecedents although this may have been controlled upon admission. For the appearance of general complications, significant predictive factors were more than 2 on the Hunt-Hess scale and hypertension antecedents. The use of these predictive parameters may help evaluate a prognosis in subarachnoid haemorrhage patients and also help make decisions in the management of this pathology.",1996,Revista de neurologia
Least Squares Estimation in High Dimensional Sparse Heteroscedastic Models,"This contribution gives a brief review on penalized least squares methods in sparse linear regression models with a specific focus on heteroscedastic data structures. We discuss the well known bridge estimators, Lasso and adaptive Lasso and a new class of weighted penalized least squares methods, which address the problem of heteroscedasticity. We give a careful explanation on how the choice of the regularizing parameter affects the quality of the statistical inference (such as conservative or consistent model selection). The new estimators are asymptotically (pointwise) as efficient as estimators which are assisted by a model selection oracle. The results are illustrated by means of a small simulation study and the analysis of a data example.",2013,
I molti modi di intendere il Meridionalismo,"Nei 150 anni della nostra recente storia ci sono stati illustri esempi di meridionalisti, da Giustino Fortunato a Pasquale Villari, da Francesco Nitti fino ad Antonio Gramsci. Grandi nomi e grandi pensieri che hanno coinvolto la vita culturale e sociale, anche se non con risultati brillanti e duraturi. Ma prima e doveroso, da parte mia, chiarire il concetto di Meridionalismo. Il meridionalista nasce dalla scoperta di una storia negata, dalla negligenza politica e dal collasso economico del (...)",2010,
A method and apparatus for restoring compensation displacements for a set of images reconstructed samples,"1. A method of compensating offsets for a set of samples reconstructed images, wherein each sample has the sampling value, the method comprising the steps of: - choosing, based on distortion criterion depending on the transmission rate, the classification of a plurality of predetermined classifications, each said predetermined classification is classification range, smaller full sample range, and consists of a plurality of classes, each of which specifies rANGE he sample values â€‹â€‹in said classifying range, and in this class sample is placed, if the sample is in the range given class; u associated with each class of the selected classification compensating offset value to be applied to sample each sample considered klassa.2. A method according to Claim. 1, wherein said classification range to at least one of said predetermined classification is less than half of said full diapazona.3. A method according to Claim. 1, wherein the range of classification of at least one of said predetermined classification is equal to one eighth of the full diapazona.4. A method according to Claim. 1, wherein at least one said predetermined classification includes chetyrehklassov.5. The method according to any one of the preceding claims, wherein the sample set may have at least a first component type or a second type of component, wherein the plurality of classes determined depending on the type of kit component vyborok.6. The method of claim. 5, a koto",2012,
Late Aptian (Cretaceous) climate changes in northeastern Brazil: A reconstruction based on indicator species analysis (IndVal),"Abstract The flora preserved in upper Aptian rocks of South America and Africa is typical of warm climate conditions and commonly associated with semi-arid to arid climate. Warmth-loving conifers of the family Cheirolepidiaceae and their pollen Classopollis are recorded in upper Aptian rocks in most of the South Atlantic margin basins. However, an increase in indicators of humid conditions (e.g., ferns) is recorded in most sedimentary basins of Brazil. The method of indicator species analysis (IndVal) was applied as a tool for reconstructing the vegetation during the late Aptian. The IndVal index expresses which taxa are strongly associated with particular groups of samples. The vegetation reflects climate changes, and the IndVal indices illustrate how the taxa interacted through time and reveal patterns in the changing composition of the vegetation. The material studied derives from two well sections drilled through the Riachuelo Formation in the Sergipe Basin, GTP-17-SE (Angico Member, 70 samples) and GTP-24-SE (Taquari Member, 108 samples). The indicator species are strongly associated with particular stratigraphic intervals. IndVal indices for the Angico section indicate seven taxa associated with four intervals, viz. Classopollis classoides (Interval AS-1); Callialasporites segmentatus and Cicatricosisporites avnimelechi (Interval AS-2); Verrucosisporites spp. and Cicatricosisporites microstriatus (Interval AS-3); Araucariacites australis and Cyathidites spp. (Interval AS-4). Values for the Taquari section indicate nine taxa associated with four intervals, viz. Classopollis classoides (Interval TS-1); Uesuguipollenites callosus, Callialasporites segmentatus Bennettitaepollenites regaliae, Cyathidites spp., Cicatricosisporites spp. and Araucariacites australis (Interval TS-2); Retitriletes spp. (Interval TS-3); Araucariacites australis and Verrucosisporites spp. (Interval TS-4). Two phases, dry and wet, are recognized in both sections. The dry phase is characterized by high to very high abundance of Classopollis classoides. A conspicuous change in vegetation is recorded, with an increase in ferns and upland flora, in particular Araucariacites australis. A. australis is the second most abundant terrestrial palynomorph. In the late Aptian of South America and Africa Araucariacites is generally associated with an upland flora and warm and humid climates, which may explain its association with fern spores. The replacement of Classopollis by Araucariacites and ferns reflects a change from a dry to wet phase. The change in flora may be the result of dislocation of the Intertropical Convergence Zone (ITCZ) and a relative sea-level rise.",2017,"Palaeogeography, Palaeoclimatology, Palaeoecology"
University of Southern Denmark De novo pathway-based biomarker identification,"Gene expression profiles have been extensively discussed as an aid to guide the therapy by predicting disease outcome for the patients suffering from complex diseases, such as cancer. However, prediction models built upon single-gene (SG) features show poor stability and performance on independent datasets. Attempts to mitigate these drawbacks have led to the development of network-based approaches that integrate pathway information to produce meta-gene (MG) features. Also, MG approaches have only dealt with the two-class problem of good versus poor outcome prediction. Stratifying patients based on their molecular subtypes can provide a detailed view of the disease and lead to more personalized therapies. We propose and discuss a novel MG approach based on de novo pathways, which for the first time have been used as features in a multi-class setting to predict cancer subtypes. Comprehensive evaluation in a large cohort of breast cancer samples from The Cancer Genome Atlas (TCGA) revealed that MGs are considerably more stable than SG models, while also providing valuable insight into the cancer hallmarks that drive them. In addition, when tested on an independent benchmark non-TCGA dataset, MG features consistently outperformed SG models. We provide an easy-touse web service at http://pathclass.compbio.sdu.dk where users can upload their own gene expression datasets from breast cancer studies and obtain the subtype predictions from all the classifiers. INTRODUCTION High-throughput gene expression profiling from DNA microarrays in combination with machine learning techniques is a widespread approach to identify genes that can be used to stratify patients into groups with distinct clinical outcome. These so-called gene expression panels (GEPs) can then be used to guide clinicians in selecting the appropriate therapy in complex diseases, for example, lupus (1), Chronâ€™s disease (2) or Parkinsonâ€™s (3). Commercialized GEPs have already been developed for outcome prediction in cancer: MammaprintÂ® (4), a set of 70 genes for lowor high-risk prediction in breast cancer, DecipherÂ® (5), a panel of 22 RNA markers to predict risk of metastases in prostate cancer and OncoType DXÂ® panels for tumor profiling in breast (6), prostate (7) and colon (8) cancer. Although GEPs have shown relative success in cancer prognosis, it was demonstrated that their predictive performance is not consistent across datasets (9). An insufficient number of samples, inherent noise in the experiments and the heterogeneity of cancer patients have been pointed out as main reasons for the lack of feature stability and prediction accuracy. Moreover, cross validation shows that even on a single dataset, the size and composition of the selected gene panels varies strongly (10). The large number of features, which are often correlated, pose a significant challenge in cancer subtyping when only comparably few samples are available (p n problem). Complex diseases such as cancer have thus driven the need for more â€˜systemsâ€™-based approaches that elucidate the molecular mechanisms underlying the disorder rather than the effect of individual genes. Hence, recent efforts to predict outcome in cancer exploit the wealth of information about proteinâ€“protein interactions, gene regulations, *To whom correspondence should be addressed. Tel: +45 65502309; Email: nalcaraz@binf.ku.dk â€ These authors contributed equally to the paper as first authors. C Â© The Author(s) 2017. Published by Oxford University Press on behalf of Nucleic Acids Research. This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by-nc/4.0/), which permits non-commercial re-use, distribution, and reproduction in any medium, provided the original work is properly cited. For commercial re-use, please contact journals.permissions@oup.com Downloaded from https://academic.oup.com/nar/article-abstract/45/16/e151/3979711/De-novo-pathway-based-biomarker-identification by Danish Regions user on 25 September 2017 e151 Nucleic Acids Research, 2017, Vol. 45, No. 16 PAGE 2 OF 11 metabolic reactions and other types of relationships between biomolecules available in public databases. In the context of patient outcome prediction, a popular approach is to aggregate groups of biologically related genes into gene sets with a summary activity score, often called meta-genes (11) (MGs). They are hence also called â€˜composite-featuresâ€™ (12), which are used in supervised learning methods in the expectation that they will provide improved prediction performance and higher feature stability compared with singlegene (SG) panels (i.e. sets of genes treated as a priori unrelated and independent). MGs can also be used to group highly correlated genes and reduce the overall feature number, thus alleviating the p n problem. In addition, MGs representing pathways can provide a higher level of interpretation and help biomedical researchers to identify novel biomarkers and drug targets. To obtain a set of predictive MGs in cancer, some approaches (13,14) use predefined pathways or gene sets expertly curated and stored in public databases (e.g. Kyoto Encyclopedia of Genes and Genomes (KEGG) (15), Reactome (16)). However, most a priori defined pathways are not disease-specific and are thus only partially affected during the course of the disease in question. Despite continuous improvement over the years, interaction databases are still biased toward well-understood biological processes and few pathways are compiled and annotated for rare or specific (sub-)types of diseases (17). Other methods (18,19) extract a new list of case-specific pathways by searching for connected subnetworks in a large interaction network. The top ranking subnetworks are then selected and used as MG features for the classification procedure. We previously termed this pathway extraction step as de novo pathway enrichment, (20), although other terms exist as well such as functional module detection or connected subnetwork extraction. Various de novo pathway enrichment methods have been proposed (e.g. (21â€“26)) differing in subnetwork scoring function, optimization criteria or search method. Nevertheless, to the best of our knowledge, popular and well-established methods have never been used in the context of pathwaybased prediction. We believe this is due to limiting factors such as high runtime, low robustness (27), unintuitive parameters or lack of a publicly available software package or web service (23,28) that can be easily integrated into the classification pipeline. For these reasons, it is understandable that most MG classifiers extract subnetworks using simple but fast search heuristic methods (19,29) that may be prone to overlook relevant genes or interactions. Even though previous studies employing MG classifiers report an improvement over SG classifiers, other evaluations (30â€“33) have challenged such claims. In more rigorous and exhaustive simulations performed on larger datasets, Staiger et al. (32) demonstrated that MGs do not outperform SGs in prediction performance or stability over a range of different networks, gene sets or classifiers. In a more recent study (34), Allahyar et al. identified shortcomings that could lead to loss of predictive power of MG classifiers evaluated by Staiger et al. In particular, they argued that using simple averaging operators to produce a MG score can lead to loss of predictive power, while performing feature extraction and feature ranking for selection in separate steps can produce unstable features. Allahyar et al. show that by introducing certain improvements to the MG classifiers that mitigate these problems, their performance increases and in some cases achieve equal or better results than SG classifiers. Allahyar et al. further introduce FERAL, a method that produces multiple MGs from the same gene sets by using multiple aggregation operators. FERAL then implements a sparse group lasso approach that simultaneously selects the features and integrates them into the prediction model, thus avoiding the separate feature selection and ranking procedure. Although the authors report higher prediction accuracy with FERAL compared with other known MG classifiers as well as SGs, improvement over SGs is modest and it becomes evident that cancer outcome prediction based on gene expression might not have the potential to improve significantly regardless of the features, datasets or techniques used to build the classifiers (34). Cancers are often characterized by the occurrence of subtypes with distinct clinical outcome. One example is found in breast cancer, in which clinically relevant subtypes have been defined that show significant differences in terms of their incidence, risk factors, prognosis and treatment sensitivity (35). In clinical practice, breast cancer is classified based on the estrogen and progesterone receptor status, as well as the expression of the Her2 gene. Nevertheless, histopathological classification of the tumor samples is prone to human error given that it must be performed by a skilled pathologist (36). In an effort to more reliably assign subtypes to cancer patients, the PAM50 (37) GEP was developed, a set of 50 genes stratifying patients into five â€˜intrinsicâ€™ molecular subtypes: Basal, Her2, LumA, LumB and Normal-like. Although efforts have been made to obtain smaller gene sets based on gene expression (38), the PAM50 gene panel currently remains the quasi-gold standard for breast cancer subtype classification and has been used, for instance, by The Cancer Genome Atlas (18) (TCGA). In this article, we focus on a pathway-based prediction of cancer subtypes, as opposed to previous MG classifiers, which have only addressed the two class problem of good versus bad outcome prediction (based on time of death, recurrence or metastasis) in cancer patients. We propose a novel pipeline that extracts subtype-specific pathways su",2017,
Purification andCharacterization ofa Cysteine Endopeptidase inCotyledons ofGerminated MungBeanSeeds1,"Acysteine endopeptidase (EC3.4.22.-) present incotyledons ofmungbean(Vigna radiata) seedlings waspurified tohomogeneity, asjudged bysodiumdodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE). Thisproteinase hasanapparent molecular massof33kilodaltons asestimated bySDS-PAGE and belongs totheclassofcysteine proteinases asjudged bythe effects ofvarious proteinase inhibitors on theactivity ofthe enzyme. Whenproangiotensin isusedasasubstrate, theenzyme preferentially hydrolyzes thepeptide bondsformed bytheamino groupofLeuorlie inthis oligopeptide chain; fortheenzymeto cleave thosebonds, peptide sequences consisting ofatleast threeaminoacidresidues ontheaminosideofLeuorlie must bepresent. Theproteinase readily digests globulin present in mungbeancotyledons tosmaller polypeptides.",1990,
