title,abstract,year,journal
GLUP: Yet another algorithm for blind unmixing of hyperspectral data,"This paper addresses the problem of blind fully-constrained linear unmixing of hyperspectral images. The endmembers and their cardinality are assumed unknown, but the endmember spectra are supposed to be present in the scene. Group Lasso regularization is used to extract the endmembers. The estimation problem is convex, and solved with the Alternating Direction Method of Multipliers. Comparisons with state-of-the-art methods on synthetic and real data sets show the efficiency of our approach.",2014,2014 6th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS)
"Annotated text databases in the context of the Kaj Munk corpus: One database model, one query language, and several applications","The central theme of this PhD dissertation is â€œannotated tex t databasesâ€. An annotated text database is a collection of text plus information about tha text, stored in a computer system for easy update and access. The â€œinformation ab ut the textâ€ constitutes the annotations of the text. My PhD work has been carried out under the organizational umb rella of the Kaj Munk Research Centre at Aalborg University, Denmark. Kaj Munk (1 898â€“1944) was an influential and prolific playwright, journalist, pastor, and poe t, whose influence was widely felt â€” both inside and outside of Denmark â€” during the period b etween World War I and World War II. He was murdered by Gestapo in early January 1 944 for his resistance stance. The two main tasks of the Kaj Munk Research Centre in which I ha ve been involved during my PhD work are: a) Digitizing the nachlassof Kaj Munk, and b) Making the texts of Kaj Munk available electronically to the general pu blic. My dissertation reflects these tasks by taking the works of Kaj Munk as the empirical ba sis, the empirical sample data, on which to test the theoretical advancements made in m y dissertation. My work has thus not been about Kaj Munk or his works as seen fro m a historical or even literary perspective. My perspective on Kaj Munkâ€™s wor ks has been that of a computer scientist seeking to represent annotated versions of Kaj Munkâ€™s works in a computer database system, and supporting easy querying of these anno tated texts. As such, the fact that the empirical basis has been Kaj Munkâ€™s works is largely immaterial; the principles crystallized, the methods obtained, and the system impleme nted could equally well have been brought to bear on any other collection of annotated tex t. Future research might see such endeavors. The theoretical advancements which I have gained during my P hD build on the work of a number of other people, the primary point of departure be ing the work of Dr. Crist-Jan Doedens in his PhD dissertation from 1994: â€œText Databases â€” One Database Model and Several Retrieval Languagesâ€, University of Utrecht, the N etherlands. Dr. Doedens, in his PhD dissertation, described the â€œMonads dot Featuresâ€ (or M dF) model of annotated text, as well as the â€œQL query languageâ€ defined over MdF databases. In my work, I have taken the MdF text database model, and have b oth reduced it in scope in some areas, and have also extended it in other areas, thus arriving at the EMdF model. I have also taken Doedensâ€™s QL query language, and hav e reduced part of it to a slightly smaller sub-language, but have also extended it in numerous ways, thus arriving at the â€œMQL query languageâ€. The EMdF model is able to express almost any annotation neces sary for representing linguistic annotations of text. As I show in Chapter 10, it is certainly the case that all of the annotations with which we in the Kaj Munk Research Centre have desired to enrich the Kaj Munk Corpus, can be expressed in the EMdF model.",2008,
Microfossil Evidence for Development of Marine Mesozoic in the North of South China Sea,"Microfossils,including spores,pollen and radiolarian,were found in the Mesozoic which was first encountered in Well MZ-1-1 in the north of the South China Sea.The geological time of the spore and pollen assemblage dominated by Classopollis and Cyathdites is given as the middle Jurassic,which was recovered from the interval 2 187ï½ž2 388 m of Well MZ-1-1.The siliceous rocks occurring in the interval 1 725ï½ž1 887 m of this well contains late Jurassic to early Cretaceous radiolarian assemblages,mainly including Caneta hsui,Loopus primitivus,Dibolachras sp.cf.D.apletopora.The results of microfossil analysis have demonstrated the occurrence of marine Jurassic and Cretaceous in the north of the South China Sea.The spore and pollen assemblage dominated by Classopollis and Cyathdites reflects the tropical to subtropical coastal vegetation and coastal marshland that developed in the north of the South China Sea during the middle Jurassic.The deposition environment changed greatly and the deep water reigned in this region during the late Jurassic to early Cretaceous.",2007,Marine Geology & Quaternary Geology
Shoe with ventilation in the lower shaft area and for usable air permeable spacer structure,"Schuh (10), aufweisend eine Schaftanordnung (12) und eine Sohle (14), wobei die Schaftanordnung (12) ein Schaftobermaterial (16) und eine in einem Schaftboden angeordnete luftdurchlassige Lage (40) aufweist, die luftdurchlassige Lage (40) in einem sohlenseitigen unteren Bereich der Schaftanordnung (12) oberhalb der Sohle (14) angeordnet ist, die luftdurchlassige Lage (40) eine in mindestens horizontaler Richtung Luftdurchlass zulassende dreidimensionale Struktur aufweist und in einem sohlenseitigen unteren Umfangsbereich des Schaftobermaterials (16) wenigstens eine Luftdurchlassoffnung (20) angeordnet ist, die mit der luftdurchlassigen Lage (40) derart in Verbindung steht, dass uber die luftdurchlassige Lage (40) Luft zwischen der Umgebung und der luftdurchlassigen Lage (40) ausgetauscht werden kann.",2008,
The risk of machine learning,"Many applied settings in empirical economics involve simultaneous estimation of a large number of parameters. In particular, applied economists are often interested in estimating the effects of many-valued treatments (like teacher effects or location effects), treatment effects for many groups, and prediction models with many regressors. In these settings, machine learning methods that combine regularized estimation and data-driven choices of regularization parameters are useful to avoid over-fitting. In this article, we analyze the performance of a class of such methods that includes ridge, lasso, and pretest, in contexts that require simultaneous estimation of many parameters. Our analysis aims to provide guidance to applied researchers on (i) the choice between regularized estimators in practice and (ii) data-driven selection of regularization parameters. To address (i), we characterize the risk (mean squared error) of regularized estimators and derive their relative performance as a function of simple features of the data generating process. To address (ii), we show that data-driven choices of regularization parameters, based on Stein's unbiased risk estimate or on cross-validation, yield estimators with risk uniformly close to the risk attained under the optimal (unfeasible) choice of regularization parameters. We use data from recent examples in the empirical economics literature to illustrate the practical applicability of our results.",2017,arXiv: Machine Learning
Sparse Principal Covariates Regression for high-dimensional data,"Prediction in a context of high-dimensional data, this is data with many more covariates than observations, is an ill-posed problem. Popular solutions are the introduction of penalties that perform variable selection (e.g., the lasso or elastic net in regression) and the use of dimension reduction methods to reduce the covariates to a few components (e.g., principal covariates regression that simultaneously optimizes the reduction of the covariates to a few components and the prediction of the outcome by these components). From an interpretational point of view it is attractive to reduce the covariate space to a few meaningful components. However, in a high-dimensional context interpretation of the components is daunting as the components are based on a linear combination of a huge number of variables. To account for this interpretational issue, we propose a sparse principal covariates regression approach that selects a limited number of relevant variables to construct the components and that uses an alternating least squares and coordinate descent estimation procedure. We will compare with sparse partial least squares and illustrate with a systems vaccinology example with the aim to predict the antibody titers for subjects vaccinated against the flu by thousands of genes.",2015,International Federation of Classification Societies
Separable regularization penalties and structured sparsity,"It has been shown in literature that the Lasso, or l1-penalized estimator, enjoys good oracle properties. This paper examines which special properties of the l1-penalty allow for such oracle results, and then extends the situation to general norm-based penalties that satisfy a separability condition.",2012,arXiv: Statistics Theory
ROC Curves for the Statistical Analysis of Microarray Data.,"A receiver operating characteristic (ROC) curve is a graphical plot that illustrates the diagnostic ability of a binary classifier as a function of its discrimination threshold. This chapter is an overview on the use of ROC curves for microarray data. The notion of ROC curve and its motivation is introduced in Subheading 1. Relevant scientific contributions concerning the use of ROC curves for microarray data are briefly reviewed in Subheading 2. The special case with covariates is considered in Subheading 3. Two relevant aspects are reviewed in this section: the use of LASSO techniques for selecting and combining relevant markers and how to correct for multiple testing when a large number of markers are available. Finally, some conclusions are included.",2019,Methods in molecular biology
LassoNet: Neural networks with Feature Sparsity.,"We introduce LassoNet, a neural network model with global feature selection. The model uses a residual connection to learn a subset of the most informative input features. Specifically, the model honors a hierarchy restriction that an input neuron only be included if its linear variable is important. This produces a path of feature-sparse models in close analogy with the lasso for linear regression, while effectively capturing complex nonlinear dependencies in the data. Using a single residual block, our iterative algorithm yields an efficient proximal map which accurately selects the most salient features. On systematic experiments, LassoNet achieves competitive performance using a much smaller number of input features. LassoNet can be implemented by adding just a few lines of code to a standard neural network.",2019,arXiv: Machine Learning
Simultaneous Variable Selection and Outlier Detection Using Lasso with Applications to Aircraft Landing Data Analysis,"OF THE DISSERTATION Simultaneous Variable Selection and Outlier Detection Using LASSO with Applications to Aircraft Landing Data Analysis by Wei Li Dissertation Director: Regina Y. Liu, Minge Xie, and Cun-Hui Zhang We propose a LASSO-type penalized regression method for simultaneous variable selection and outlier detection in high dimensional linear regression. We apply a mean-shift model to incorporate the coefficients associated with the potential outliers by expressing them as different intercept terms. The sparsity assumption is imposed on both X-covariates and the outlier indicator variables. With suitable penalty factors between X-covaraites and the outlier indicators, we show that the proposed method selects a model of the correct order of dimensionality, under the sparse Riesz condition on the correlation of design variables and a joint sparse Reisz condition on the augmented design matrix. We also show that the estimation/prediction of the selected model can be controlled at a level determined by the sizes of the true model, the outliers and the thresholding level. Moreover, the estimation has a positive breakdown point when both the dimension p and the sample size n tend to infinity, and p >> n. We also provide a generalized version for the estimator by adjusting the penalty weight factor. Finally, we apply the proposed method to analyze an aircraft landing performance data set, for identifying the precursors for undesirable landing performance and reducing the risk of runway overruns.",2012,
