title,abstract,year,journal
Inference of the kinetic Ising model with heterogeneous missing data.,"We consider the problem of inferring a causality structure from multiple binary time series by using the kinetic Ising model in datasets where a fraction of observations is missing. Inspired by recent work on mean field methods for the inference of the model with hidden spins, we develop a pseudo-expectation-maximization algorithm that is able to work even in conditions of severe data sparsity. The methodology relies on the Martin-Siggia-Rose path integral method with second-order saddle-point solution to make it possible to approximate the log-likelihood in polynomial time, giving as output an estimate of the couplings matrix and of the missing observations. We also propose a recursive version of the algorithm, where at every iteration some missing values are substituted by their maximum-likelihood estimate, showing that the method can be used together with sparsification schemes such as lasso regularization or decimation. We test the performance of the algorithm on synthetic data and find interesting properties regarding the dependency on heterogeneity of the observation frequency of spins and when some of the hypotheses that are necessary to the saddle-point approximation are violated, such as the small couplings limit and the assumption of statistical independence between couplings.",2019,Physical review. E
7Ã¨me Biennale des LittÃ©ratures d'Afrique noire Ã  Saint-MÃ©dard-en-Jalles,"La 7eme edition de la Biennale des Litteratures d'Afrique noire se deroulera a Saint-Medard-en-Jalles (dans l'agglomeration bordelaise), a la mediatheque Le Carre des Jalles, du 5 au 7 mai 2014. Cet evenement est organise par l'Agence de Mediation Culturelle des Pays du Sahel, plus particulierement par son volet ""Bibliotheque Virtuelle des Litteratures d'Afrique noire francophone"" preside par Mwatha Musanji Ngalasso, vice-president de l'APELA. Au programme de cette 7eme edition : des rencontr...",2014,
Jeu : La boule concelloise (de Saint-Julien-de-Concelles - Loire-Atlantique),"Fiche diffusee avec lâ€™aimable autorisation de la confederation FALSAB (Confederation des Jeux et des Sports Traditionnels de Bretagne). Jeu de boules concelloise, photographie fournie par Paul Nielassof Auteur de la fiche dâ€™inventaire : Paul Nielassof La boule concelloise est un jeu de boules, avec des regles tres precises, fixees par la tradition, dont le butÂ  consiste a rapprocher ses boules le plus pres possible du petit. Lieu dâ€™observation de la pratique decrite iciÂ : La boule concelloi...",2014,
"Palynology of the plant-bearing rhaetian to hettangian kap stewart formation, scoresby sund, east greenland","Abstract The Kap Stewart Formation of Scoresby Sund, known for a well-preserved and extensive flora of macroplant fossils (Harris, 1926â€“1937), has been palynologically investigated to compare the microflora and the macroflora from the same localities and to obtain a palynological dating. The localities and the geology along Hurry Inlet are described; here the formation is limnic and with dominance of arkosic sandstone intercalated with sandy shale beds. These localities have yielded the Scoresby Sund Flora with a lower Lepidopteris Zone and an upper Thaumatopteris Zone (Harris, 1937), with few species in common. The macroflora, dominated by cycadophytes, ginkgophytes, conifers, pteridosperms and ferns, shows strong agreement with NW European floras of the same age. In the microflora the form types representing the gymnospermous plant groups are normally dominant, but in some samples spores of ferns are abundant. In the systematic section about eighty species are treated. This microflora is divided into two microflora zones with subdivisions. Zone 1 characterized by frequent Ricciisporites tuberculatus Lundblad and presence of Rhaetipollis germanicus E. Schulz, Limbosporites lundbladii Nilsson, Apiculatisporis parvispinosus (Leschik) E. Schulz and Ovalipollis ovalis Krutzsch. Zone 2 above differs by the absence of the species mentioned and the incoming of Cerebropollenites thiegartii E. Schulz, Heliosporites altmarkensis E. Schulz and Trachysporites fuscus Nilsson. However, many species occur in both zones. The microflora Zone 1 comprises the Lepidopteris Zone and the Transition Region of the macroflora, and Zone 2 is equivalent to the Thaumatopteris Zone. Zone 1 is correlated with the Rhaetipollis-Limbosporites Zone known from the lower part of the Rhaetian (Middle Rhaetic sensu germanico ) in NW Europe and Zone 2 with the Pinuspollenites-Trachysporites Zone of Hettangian age. Furthermore the zones are correlated with areas in Europe, Arctic Canada and Svalbard. Differences in the microflora of Scoresby Sund and NW Europe, such as low frequency of Corollina ( Classopollis ) in Scoresby Sund, are probably due to more northerly latitude of the area.",1980,Review of Palaeobotany and Palynology
Transurethral bladder neck incision in women with primary bladder neck obstruction,"SummaryBackgroundBladder outlet obstruction is an uncommon condition in women. Primary bladder neck obstruction is one of the functional causes of bladder outlet obstruction. We evaluated surgical treatment in our patients with primary bladder neck obstruction.Patients and methodsWe retrospectively evaluated the medical data of 47 female patients from the Department of Urology who underwent transurethral incision of the bladder neck from January 2000 to December 2012. All patients underwent transurethral bladder neck incision at the vesical neck and proximal urethra at the 5- and 7-oâ€™clock positions. We compared symptoms and urodynamic parameters before and after the operation.ResultsOut of 47 female patients who underwent the operation, primary bladder neck obstruction was diagnosed in 42. The mean age was 44.3â€‰Â±â€‰16.8 (range: 21â€“78) years. The postoperative maximal flow rates were significantly increased (20.6â€‰Â±â€‰3.9 vs. 7.6â€‰Â±â€‰3.2Â mL/s, Pâ€‰<â€‰0.0001), and the postvoid residual urine was decreased (31.3â€‰Â±â€‰7.8 vs. 132.1â€‰Â±â€‰22.24Â mL, Pâ€‰=â€‰0.0002) compared with preoperative findings. Improvement was evident in most patients (83.3â€‰%). A repeat operation had to be performed in seven patients (16.7â€‰%). Operative therapy failed in one patient (2.4â€‰%).Discussion and conclusionsThe diagnosis of primary bladder neck obstruction in women is based on typical symptoms, uroflowmetry and multichannel urodynamics, including electromyography. Videourodynamics is obligatory in doubtful cases. Transurethral bladder neck incision is an effective therapy for female patients with primary bladder neck obstruction, and if necessary, a second procedure can be safely performed.ZusammenfassungHintergrundBlasenauslassobstruktion ist eine seltene Erkrankung bei Frauen. PrimÃ¤re Blasenhalsobstruktion ist eine der funktionellen Ursachen der Blasenauslassobstruktion. Wir werteten die Ergebnisse der chirurgischen Behandlung bei unseren Patientinnen mit einer primÃ¤ren Blasenhalsobstruktion aus.Patienten und MethodenWir untersuchten retrospektiv die Daten von 47 Patientinnen aus unserer Klinik fÃ¼r Urologie, die sich einer transurethralen Inzision des Blasenhalses vom Januar 2000 bis Dezember 2012 unterzogen. Bei allen Patientinnen wurde die transurethrale Inzision des Blasenhalses und des prohimalen HarnrÃ¶hrenanteils bei 5 und 7 Uhr durchgefÃ¼hrt. Wir verglichen Symptome und urodynamische Parameter vor und nach der Operation.ErgebnisseVon den insgesamt 47 operierten, weiblichen Patienten wurde eine primÃ¤re Blasenhalsobstruktion bei 42 Frauen diagnostiziert. Das mittlere Alter betrug 44,3â€‰Â±â€‰16,8 Jahre (Bereich von 21â€“78 Jahre). Die postoperativen maximalen Flussraten (20,6â€‰Â±â€‰3,9 vs. 7,6â€‰Â±â€‰3,2Â mL/s Pâ€‰<â€‰0,0001) und die Restharnwerte (31,3â€‰Â±â€‰7,8 vs. 132,1â€‰Â±â€‰22.24Â mL Pâ€‰=â€‰0,0002) wurden im Vergleich mit den prÃ¤operativen Werten wesentlich besser. Eine Besserung dieser Werte war bei den meisten Patientinnen (83,3â€‰%) nachweisbar. Der Eingriff musste bei 7 Patientinnen (16,7â€‰%) wiederholt werden. Die operative Behandlung blieb bei einer Patientin (2,4â€‰%) erfoglos.Diskussion und SchlussfolgerungenDie Diagnose einer primÃ¤ren Blasenhalsobstruktion bei Frauen basiert auf der typischen Symptomatologie, Uroflowmetrie und Mehrkanal-Urodynamik, einschlieÃŸlich Elektromyographie. Videourodynamik bleibt obligatorisch in zweifelhaften FÃ¤llen. Transurethrale Blasenhals-Inzision stellt eine wirksame Therapieoption fÃ¼r Patientinnen mit einer primÃ¤ren Blasenhalsobstruktion dar und kann, wenn nÃ¶tig, auch ohne weiteres wiederholt werden.",2014,Wiener klinische Wochenschrift
Volume Contents,"CHEMICAL EVOLUTION EDUARDO BORQUEZ, H. JAMES CLEAVES, ANTONIO LAZCANO and STANLEY L. MILLER / An Investigation of Prebiotic Purine Synthesis from the Hydrolysis of HCN Polymers 79â€“90 L. PEREZGASGA, A. SERRATO-DÃAZ, A. NEGRÃ“N-MENDOZA, L. DE PABLO GALÃN and F. G. MOSQUEIRA / Sites of Adsorption of Adenine, Uracil, and Their Corresponding Derivatives on Sodium Montmorillonite 91â€“110 BARAK SHENHAV, ARREN BAR-EVEN, RAN KAFRI and DORON LANCET / Polymer GARD: Computer Simulation of Covalent Bond Formation in Reproducing Molecular Assemblies 111â€“133 ALEXANDER VLASSOV / How was Membrane Permeability Produced in an RNA World? 135â€“149 ADDY PROSS / On the Emergence of Biological Complexity: Life as a Kinetic State of Matter 151â€“166",2005,Origins of Life and Evolution of Biospheres
Newton-Like Methods for Sparse Inverse Covariance Estimation,"We propose two classes of second-order optimization methods for solving the sparse inverse covariance estimation problem. The first approach, which we call the Newton-LASSO method, minimizes a piecewise quadratic model of the objective function at every iteration to generate a step. We employ the fast iterative shrinkage thresholding algorithm (FISTA) to solve this subproblem. The second approach, which we call the Orthant-Based Newton method, is a two-phase algorithm that first identifies an orthant face and then minimizes a smooth quadratic approximation of the objective function using the conjugate gradient method. These methods exploit the structure of the Hessian to efficiently compute the search direction and to avoid explicitly storing the Hessian. We also propose a limited memory BFGS variant of the orthant-based Newton method. Numerical results, including comparisons with the method implemented in the QUIC software [1], suggest that all the techniques described in this paper constitute useful tools for the solution of the sparse inverse covariance estimation problem.",2012,
Stratification of TAD boundaries reveals preferential insulation of super-enhancers by strong boundaries,"The metazoan genome is compartmentalized in areas of highly interacting chromatin known as topologically associating domains (TADs). TADs are demarcated by boundaries mostly conserved across cell types and even across species. However, a genome-wide characterization of TAD boundary strength in mammals is still lacking. In this study, we first use fused two-dimensional lasso as a machine learning method to improve Hi-C contact matrix reproducibility, and, subsequently, we categorize TAD boundaries based on their insulation score. We demonstrate that higher TAD boundary insulation scores are associated with elevated CTCF levels and that they may differ across cell types. Intriguingly, we observe that super-enhancers are preferentially insulated by strong boundaries. Furthermore, we demonstrate that strong TAD boundaries and super-enhancer elements are frequently co-duplicated in cancer patients. Taken together, our findings suggest that super-enhancers insulated by strong TAD boundaries may be exploited, as a functional unit, by cancer cells to promote oncogenesis.Topologically associating domains (TADs) detected by Hi-C technologies are megabase-scale areas of highly interacting chromatin. Here Gong, Lazaris et al. develop a computational approach to improve the reproducibility of Hi-C contact matrices and stratify TAD boundaries based on their insulating strength.",2018,Nature Communications
Model-Driven Clustering of Time-Course Gene Expression Data,"In the last decade,variousmethodsfor clusteringthe microarraysdatahave beendevelopped,suchas the hierachical clustering[1], k-means[5] or SOM (self-organizingmaps)[3, 5]. Thesemethodsarenot adaptedto time-courseexpression data,becausethetime dependenceof theobserveddatais not preserved. Here,we attemptof elaboratinga novel approach combiningtheself organizingmaps(SOM) method[2] with a modelspace.Theparameterspaceis thesetof theparameter vectors controlling a given classof deterministictime-coursemodels able to approximatethe expression profiles.Themodelspaceis adiscretesubspaceof thisspace,i.e., anetwork of parametervectorsinitially definedwhichwill beoptimizedby a recursi veproceduresimilar to thatusedin SOM. Theâ€model-drivenclusteringâ€consistsin locatinginitially theobservedexpressiondatain amodelnetwork, i.e., asubset of parametervectors,andthenin optimizingthis subsetfor identifying theoptimalparametersassociatedwith data,but also charaterizingtheclustersby makingthenodescloser. By a proceduresimilar to thatusedin SOM,we displacethenetwork nodesto improve thesimilarity betweenthe time-courseexpressiondataandthepossiblemodels.We defineareasof high densityof modelssocharacterizingtheclusters.",2003,
Abundance of benthic copepods in a saline lake in East Antarctica,"Antarctic lake ecosystems have an abundance of primary producers, including benthic algae and mosses. Despite this, many of the lakes, particularly those in East Antarctica, are deporporate of fauna. This may be due, in part, to the relatively young age of many lakes in the region. The majority of Antarctic lakes were created by glacial activity following the Last Glacial Maximum (LGM), which may not have allowed suYcient time for animal groups to invade and colonize these lakes from other Antarctic ecosystems. Few studies have reported the occurrence of crustaceans in East Antarctic lakes (Burton and Hamond 1981; Bayly and Eslake 1989; summarized by Gibson and Bayly 2007). Given the lack of research, the distribution, abundance, and ecology of such organisms within Antarctica remains unclear. The 38th Japanese Antarctic Research Expedition (JARE) reported Wnding copepods in the sediments of Lake Nurume Ike, a thalassohaline meromictic lake on the SÃ´ya Coast in the Langhovde region of East Antarctica (Fig. 1) (Seto 2001). Subsequently, several attempts were made to collect copepods from the lake using a conventional zooplankton net, hauled both vertically and horizontally. These eVorts failed to capture copepods or any other metazoan plankton. On the contrary, microscopic analysis of the copepods collected from the sediment samples suggested that they were morphologically similar to Harpacticoida, a â€˜benthic copepodaâ€™ (Dr. Kikuchi, personal communication). A conventional net haul is unlikely to capture such benthic organisms. Therefore, during the summer period of the 49th JARE we used a modiWed â€˜NIPR-1â€™ propeller net (Fukuchi et al. 1979) to quantitatively sample for organisms living in the water-sediment interface in Lake Nurume Ike. The modiWed NIPR-1 net (Fig. 2) has a submersible propeller that creates an entraining current of ca. 7 cm/s at the mouth of the plankton net (NXX-13, 100 m mesh). The propeller is powered by a DC-15V lithium ion rechargeable battery (8000WP-L, Daiwa). The NIPR-1 net was mounted on a sledge to facilitate direct contact with the lake bed. The mouth of the net was attached to a PVC tube containing the propeller. The tube was in turn connected to a stainless steel Wtting that narrowed to a rectangular mouth (Fig. 2) designed to improve suction eYciency at the watersediment interface. The height of the rectangular opening was adjusted to 3 cm above the sledge base. Lake Nurume Ike is a typical marine relic and meromictic lake (Sano et al. 1977). We measured the vertical proWle using a multi-water quality meter (YSI-6600, YSI) at the deepest point of the lake during the previous summer (2007) (Fig. 3). The water column consists of 3â€“4 layers. The surface layer (0â€“3 m, epilimnion) is slightly saline and is inXuenced by melt ice and water input from the surrounding catchment (Fig. 3). In contrast, the salinity of the second and third layers (3â€“11 m, metalimnion) is similar to the ocean. The epiand metalimnion are mixed vertically in autumn by wind-induced turbulence, thermal convection, and ice-forming processes (brine rejection and sinking). During summer oxidative conditions persist despite the development of thermal and salinity stratiWcation. The bottom layer (>11 m, hypolimnion) is completely anoxic. S. Kudoh (&) Â· K. T. Takahashi National Institute of Polar Research, Kaga 1-chome 9-10, Itabashi-ku, Tokyo 173-8515, Japan e-mail: skudoh@nipr.ac.jp",2008,Polar Biology
